time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
1.2,0.169430894309,0.0392715922745,-5.08871252495,10.8085333243,18.8727391421,5163248.54944,23.1412708707,24.2472958005,1.62094300836,0.139698262021,4206.45125846,-2223.4133456,-1208.09280076,1
1.6,0.169430894309,0.0392715922745,-9.69440902296,6.98124784546,18.804733283,5144643.34591,22.6811132755,24.2472958005,1.62286539092,0.134085022492,4191.19406332,-1338.56149037,-2106.21536904,1
2,0.169430894309,0.0392715922745,-11.8642284672,1.39981093836,18.7550186921,5131042.31071,22.3643579939,24.2472958005,1.62463074207,0.130175920278,4180.33625148,-146.428990579,-2467.47870751,1
2.4,0.169430894309,0.0392715922745,-11.0529686299,-4.53335110602,18.698438645,5115563.00777,21.9110509317,24.2472958005,1.62714826825,0.12459494775,4171.21078373,1056.97359282,-2201.12014343,1
2.8,0.169430894309,0.0392715922745,-7.46447166574,-9.32743536753,18.6140818623,5092484.47992,21.4587715138,24.2472958005,1.6289938374,0.119148758125,4148.1384514,1961.2846146,-1388.89965432,1
3.2,0.169430894309,0.0392715922745,-2.00040547334,-11.7778506412,18.512183535,5064606.89487,21.1573697032,24.2472958005,1.62976031695,0.115564239397,4111.33800241,2351.13146531,-258.140179692,1
3.6,0.169430894309,0.0392715922745,3.96629494661,-11.2688904592,18.4304667277,5042250.61772,20.9374460966,24.2472958005,1.62977095506,0.113012338135,4080.04396762,2152.90329459,903.685672975,1
4,0.169430894309,0.0392715922745,8.9363996147,-7.92843929853,18.3836310076,5029437.1908,20.7514299391,24.2472958005,1.62910176423,0.110942239119,4061.99161531,1430.63640905,1818.36655731,1
4.4,0.169430894309,0.0392715922745,11.661089352,-2.59583953822,18.3461931683,5019194.85832,20.5600087241,24.2472958005,1.62851972705,0.108801355208,4048.40880276,365.292014848,2265.6552531,1
4.8,0.169430894309,0.0392715922745,11.4557417959,3.38900688834,18.3115441147,5009715.48838,20.3870717087,24.2472958005,1.62800106693,0.106866311358,4035.78241822,-774.439124583,2142.15229588,1
5.2,0.169430894309,0.0392715922745,8.37195384094,8.52231052411,18.2851648712,5002498.59265,20.2326525091,24.2472958005,1.62758414703,0.10513384805,4026.61503491,-1706.26157643,1487.8962917,1
5.6,0.169430894309,0.0392715922745,3.18457708457,11.5142458102,18.2660965695,4997281.84164,20.0716742312,24.2472958005,1.62722230909,0.103320657406,4020.9240891,-2201.9474443,470.202431548,1
6,0.169430894309,0.0392715922745,-2.80297616817,11.6130406176,18.2509777933,4993145.61114,19.9186925058,24.2472958005,1.62752049517,0.101546280452,4018.27163024,-2144.03829908,-654.747114654,1
6.4,0.169430894309,0.0392715922745,-8.08623632638,8.79387115315,18.2351621331,4988818.72545,19.7727208327,24.2472958005,1.62830871487,0.0998134664555,4016.25320266,-1550.6621533,-1606.72310249,1
6.8,0.169430894309,0.0392715922745,-11.3376988296,3.76509933904,18.2206915592,4984859.83167,19.6446612903,24.2472958005,1.62899200776,0.0982938738399,4014.19294379,-573.936098852,-2149.77412909,1
7.2,0.169430894309,0.0392715922745,-11.7403811384,-2.2097145766,18.1962475896,4978172.39274,19.5158041643,24.2472958005,1.62959823333,0.0967721968681,4007.57370849,539.011851749,-2147.9970199,1
7.6,0.169430894309,0.0392715922745,-9.19310280998,-7.62930196737,18.1543690392,4966715.16,19.4025270018,24.2472958005,1.62996357764,0.0954497212742,3992.39787209,1503.89548329,-1605.95515478,1
8,0.169430894309,0.0392715922745,-4.33590872138,-11.1319038508,18.0987578747,4951500.92626,19.3408018297,24.2472958005,1.62989536544,0.0947534750319,3969.13828662,2078.86959802,-669.399545845,1
8.4,0.169430894309,0.0392715922745,1.61075255772,-11.8374348565,18.0501727122,4938208.88276,19.3422488512,24.2472958005,1.62949618644,0.0948066271538,3946.93948913,2130.46864187,421.065647128,1
8.8,0.169430894309,0.0392715922745,7.15268620614,-9.56861890874,18.0244163492,4931162.39614,19.3758791367,24.2472958005,1.62908703403,0.0952271779017,3934.06780007,1654.37337731,1398.42871255,1
9.2,0.169430894309,0.0392715922745,10.8973917655,-4.89553270775,18.0224845142,4930633.88016,19.4150677407,24.2472958005,1.62883602281,0.0956964975849,3931.84244228,768.25552628,2026.24867804,1
9.6,0.169430894309,0.0392715922745,11.9039514013,1.00763526106,18.0317497082,4933168.67383,19.4093288262,24.2472958005,1.62894437598,0.0956211622217,3936.24731726,-311.861079208,2146.63273341,1
10,0.169430894309,0.0392715922745,9.919450726,6.65761857413,18.0449288296,4936774.24897,19.3662832888,24.2472958005,1.6293090797,0.0950974823359,3943.72288832,-1315.61969373,1727.11508179,1
10.4,0.169430894309,0.0392715922745,5.44252762941,10.6347675474,18.0610106114,4941173.94082,19.3033558373,24.2472958005,1.62981845595,0.0943341971338,3953.22156398,-1990.36881496,872.421557207,1
10.8,0.169430894309,0.0392715922745,-0.401918555568,11.9397591793,18.080742633,4946572.2739,19.2159258352,24.2472958005,1.63050804717,0.0932755095135,3965.25911778,-2165.82386558,-203.406516818,1
11.2,0.169430894309,0.0392715922745,-6.14537620327,10.2446932167,18.0949444374,4950457.6371,19.106559214,24.2472958005,1.63128869895,0.0919588322256,3975.5625612,-1794.95465855,-1229.04202336,1
