   [1]radialPos           [2]Fa           [3]Fn  [4]inflowAngle          [5]aoa        [6]twist           [7]re           [8]cl           [9]cd        [10]vLoc      [11]cn(ca)      [12]ct(cn) 
   5.597330e+01    7.739940e+03    8.193370e+02    6.452440e+00    5.551310e+00    9.011330e-01    1.012510e+07    1.062270e+00    7.596250e-03    7.173160e+01    1.056400e+00    1.118280e-01 
   5.740130e+01    7.840360e+03    8.127130e+02    6.349280e+00    5.708640e+00    6.406390e-01    9.868340e+06    1.076900e+00    8.105980e-03    7.352320e+01    1.071190e+00    1.110380e-01 
   5.868180e+01    7.898030e+03    8.051290e+02    6.272510e+00    5.863100e+00    4.094100e-01    9.598450e+06    1.091270e+00    8.606450e-03    7.513090e+01    1.085680e+00    1.106740e-01 
   5.980710e+01    7.403740e+03    7.738230e+02    6.448270e+00    6.148040e+00    3.002240e-01    8.636770e+06    1.115990e+00    9.378650e-03    7.655680e+01    1.109980e+00    1.160130e-01 
   6.077070e+01    6.770070e+03    7.275670e+02    6.635710e+00    6.409610e+00    2.261000e-01    7.631070e+06    1.137180e+00    9.959340e-03    7.777800e+01    1.130710e+00    1.215160e-01 
   6.156690e+01    6.174480e+03    6.777060e+02    6.780930e+00    6.616080e+00    1.648510e-01    6.772810e+06    1.153900e+00    1.041770e-02    7.878550e+01    1.147060e+00    1.259000e-01 
   6.219110e+01    5.071550e+03    5.791930e+02    7.057500e+00    6.963030e+00    9.446610e-02    5.379170e+06    1.182010e+00    1.118790e-02    7.957940e+01    1.174420e+00    1.341240e-01 
   6.263960e+01    4.152690e+03    4.884720e+02    7.259220e+00    7.217130e+00    4.208790e-02    4.302480e+06    1.201940e+00    1.154790e-02    8.014820e+01    1.193760e+00    1.404200e-01 
   6.290980e+01    3.567550e+03    4.267930e+02    7.376180e+00    7.365640e+00    1.053740e-02    3.646250e+06    1.213520e+00    1.173800e-02    8.049000e+01    1.204980e+00    1.441550e-01 
   0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00 
