//(AoA  40000   60000   80000   100000  120000  300000)
(-10	-0.2464788732394365	-0.30281690140845074	-0.3103286384976527	-0.3272300469483569	-0.3384976525821597	-0.3497652582159625	      )
(-8	-0.3553990610328639	-0.4004694835680749	-0.41549295774647876	-0.4230046948356807	-0.43239436619718297	-0.44741784037558663  )
(-6	-0.22018779342722983	-0.24835680751173705	-0.2671361502347416	-0.25962441314553986	-0.2408450704225351	-0.24835680751173705  )
(-4	-0.019248826291079713	0.012676056338028152	0.05023474178403764	0.10281690140845079	0.1253521126760564	0.1309859154929578        )
(-2	0.020187793427230094	0.09906103286384971	0.1816901408450704	0.33192488262910813	0.3863849765258218	0.4014084507042255		      )
(0	0.21173708920187795	0.3676056338028171	0.4971830985915495	0.6004694835680752	0.5929577464788734	0.6211267605633803		      )
(2	0.45023474178403755	0.5178403755868546	0.7262910798122068	0.7863849765258217	0.8051643192488265	0.8464788732394368		      )
(4	0.6004694835680752	0.6154929577464789	0.7338028169014086	0.9967136150234743	1.0286384976525824	1.0774647887323945		          )
(6	0.7225352112676058	0.731924882629108	1.1394366197183101	1.2014084507042255	1.2220657276995306	1.2840375586854462		          )
(8	0.8145539906103288	1.3253521126760566	1.3328638497652585	1.3478873239436622	1.3798122065727703	1.447417840375587		          )
(10	0.9028169014084508	1.4079812206572773	1.4173708920187795	1.391079812206573	1.3967136150234745	1.4718309859154932		          )
(12	0.987323943661972	1.4042253521126762	1.3685446009389675	1.351643192488263	1.351643192488263	1.41924882629108		          )
(14	1.0906103286384978	1.3460093896713616	1.3197183098591552	1.3065727699530518	1.2915492957746482	1.3553990610328641		          )
(16	1.0361502347417841	1.0023474178403757	0.9835680751173711	0.9760563380281692	1.2446009389671364	1.3065727699530518		          )
(18	1.0455399061032864	0.9985915492957748	0.9798122065727701	0.9666666666666668	0.959154929577465	1.0061032863849766		          )
(20	1.0549295774647889	0.9967136150234743	0.9779342723004697	0.9741784037558687	0.9666666666666668	1.0136150234741785	              )
