// 10.24.2018 14:18
//( AOA          4.0000E+04    6.0000E+04    8.0000E+04    1.0000E+05    1.3000E+05    1.6000E+05    2.0000E+05    2.5000E+05    3.0000E+05    5.0000E+05    1.0000E+06    3.0000E+06    5.0000E+06    )
( -1.5000E+01   -3.8550E-01   -3.8200E-01   -3.8260E-01   -4.0340E-01   -3.8600E-01   -3.9680E-01   -3.9070E-01   -3.9330E-01   -3.9470E-01   -3.9610E-01   -4.1200E-01   -2.6400E-01   -2.4550E-01    )
( -1.4000E+01   -3.8800E-01   -3.9040E-01   -3.8670E-01   -3.9530E-01   -3.6910E-01   -3.8140E-01   -3.7800E-01   -3.7640E-01   -3.8990E-01   -3.8000E-01   -3.9620E-01   -2.2640E-01   -2.1930E-01    )
( -1.3000E+01   -3.4720E-01   -3.6960E-01   -3.8730E-01   -3.5560E-01   -3.5930E-01   -3.6530E-01   -3.6460E-01   -3.6310E-01   -3.7100E-01   -3.6600E-01   -3.4770E-01   -1.8990E-01   -2.0380E-01    )
( -1.2000E+01   -3.3170E-01   -3.4280E-01   -3.4420E-01   -3.4730E-01   -3.5950E-01   -3.5040E-01   -3.5500E-01   -3.5510E-01   -3.5940E-01   -3.5500E-01   -3.0660E-01   -1.5720E-01   -2.0340E-01    )
( -1.1000E+01   -3.1460E-01   -3.8390E-01   -3.5100E-01   -3.6280E-01   -3.5760E-01   -3.4500E-01   -3.5000E-01   -3.4820E-01   -3.5440E-01   -3.4990E-01   -2.6340E-01   -1.3860E-01   -3.0320E-01    )
( -1.0000E+01   -3.0770E-01   -3.4250E-01   -3.7050E-01   -3.5310E-01   -3.5290E-01   -3.5100E-01   -3.6760E-01   -3.4960E-01   -3.5810E-01   -3.1770E-01   -2.2280E-01   -1.1760E-01   -3.2860E-01    )
( -9.0000E+00   -3.3330E-01   -3.3790E-01   -3.4660E-01   -3.5180E-01   -3.5730E-01   -3.7000E-01   -3.7510E-01   -3.6560E-01   -3.6190E-01   -2.7960E-01   -2.0220E-01   -1.0890E-01   -2.7970E-01    )
( -8.0000E+00   -2.7730E-01   -3.9420E-01   -4.2710E-01   -4.1670E-01   -4.0170E-01   -4.2400E-01   -3.8430E-01   -3.4500E-01   -3.1840E-01   -2.6580E-01   -2.0100E-01   -1.2630E-01   -2.0580E-01    )
( -7.0000E+00   -3.1210E-01   -3.2790E-01   -4.1520E-01   -4.9180E-01   -4.1500E-01   -3.9990E-01   -3.5520E-01   -2.9110E-01   -2.6148E-01   -2.4620E-01   -1.8050E-01   -7.6950E-02   -1.0150E-01    )
( -6.0000E+00   -4.7710E-01   -3.6463E-01   -4.8340E-01   -4.1890E-01   -3.3600E-01   -2.8200E-01   -2.2780E-01   -1.8880E-01   -1.6103E-01   -1.2390E-01   -6.7900E-02    1.0200E-02    1.1100E-02    )
( -5.0000E+00   -4.3710E-01   -4.4270E-01   -3.0920E-01   -2.2810E-01   -1.4860E-01   -1.2470E-01   -8.6300E-02   -5.6400E-02   -3.4600E-02    1.4900E-02    1.1200E-01    1.2400E-01    1.2660E-01    )
( -4.0000E+00   -3.2160E-01   -2.6220E-01   -1.3830E-01   -7.2200E-02    3.4000E-03    4.9700E-02    7.7050E-02    1.1740E-01    1.3400E-01    2.0150E-01    2.3540E-01    2.3820E-01    2.4330E-01    )
( -3.0000E+00   -2.2250E-01   -1.0130E-01   -2.2800E-02    3.8000E-02    1.2900E-01    1.9060E-01    2.3340E-01    2.6060E-01    2.9170E-01    3.3900E-01    3.4860E-01    3.5940E-01    3.6020E-01    )
( -2.0000E+00   -2.5330E-01   -1.1580E-01    3.0100E-02    1.2830E-01    2.5820E-01    3.2730E-01    3.7750E-01    4.1380E-01    4.2750E-01    4.4900E-01    4.5940E-01    4.7440E-01    4.8280E-01    )
( -1.0000E+00   -2.7840E-01   -3.0300E-02    1.6560E-01    2.8770E-01    4.1130E-01    4.8850E-01    5.1220E-01    5.3740E-01    5.4250E-01    5.5830E-01    5.6920E-01    5.8913E-01    5.9700E-01    )
(  0.0000E+00   -2.4340E-01    1.0310E-01    2.8460E-01    4.5550E-01    5.5830E-01    6.1610E-01    6.3330E-01    6.5220E-01    6.5920E-01    6.7060E-01    6.8260E-01    7.0300E-01    7.1240E-01    )
(  1.0000E+00   -1.2850E-01    2.2180E-01    4.1420E-01    5.6140E-01    7.0420E-01    7.2880E-01    7.5350E-01    7.6420E-01    7.7410E-01    7.8350E-01    7.9380E-01    8.1750E-01    8.2450E-01    )
(  2.0000E+00   -1.3200E-02    3.1940E-01    5.2260E-01    7.2960E-01    8.1410E-01    8.4730E-01    8.6830E-01    8.7950E-01    8.8460E-01    8.9500E-01    9.0750E-01    9.2920E-01    9.3960E-01    )
(  3.0000E+00    9.7300E-02    4.7200E-01    6.1320E-01    8.0320E-01    9.2790E-01    9.5710E-01    9.7930E-01    9.9080E-01    9.9860E-01    1.0061E+00    1.0147E+00    1.0412E+00    1.0489E+00    )
(  4.0000E+00    1.9060E-01    5.2730E-01    7.3460E-01    9.5150E-01    1.0279E+00    1.0674E+00    1.0863E+00    1.0983E+00    1.1034E+00    1.1126E+00    1.1258E+00    1.1483E+00    1.1396E+00    )
(  5.0000E+00    2.7695E-01    6.2540E-01    7.9400E-01    1.0334E+00    1.1382E+00    1.1779E+00    1.1923E+00    1.2040E+00    1.2090E+00    1.2170E+00    1.2302E+00    1.2333E+00    1.2299E+00    )
(  6.0000E+00    4.0810E-01    7.2720E-01    9.0930E-01    1.1546E+00    1.2485E+00    1.2790E+00    1.2933E+00    1.3020E+00    1.3067E+00    1.3139E+00    1.3187E+00    1.3185E+00    1.3282E+00    )
(  7.0000E+00    5.9435E-01    8.2330E-01    1.2011E+00    1.2938E+00    1.3497E+00    1.3751E+00    1.3826E+00    1.3871E+00    1.3908E+00    1.3818E+00    1.3880E+00    1.4079E+00    1.4230E+00    )
(  8.0000E+00    7.5970E-01    1.0820E+00    1.3266E+00    1.3835E+00    1.4191E+00    1.4240E+00    1.4178E+00    1.4119E+00    1.4102E+00    1.4185E+00    1.4457E+00    1.4904E+00    1.5111E+00    )
(  9.0000E+00    9.2700E-01    1.3495E+00    1.3882E+00    1.3896E+00    1.3909E+00    1.3991E+00    1.4098E+00    1.4212E+00    1.4293E+00    1.4633E+00    1.5031E+00    1.5603E+00    1.5855E+00    )
(  1.0000E+01    1.0156E+00    1.3492E+00    1.3528E+00    1.3646E+00    1.3776E+00    1.3873E+00    1.4042E+00    1.4265E+00    1.4427E+00    1.4969E+00    1.5556E+00    1.6233E+00    1.6538E+00    )
(  1.1000E+01    1.3758E+00    1.4013E+00    1.3843E+00    1.3750E+00    1.3808E+00    1.3935E+00    1.4067E+00    1.4369E+00    1.4524E+00    1.5236E+00    1.5801E+00    1.6797E+00    1.7139E+00    )
