// 06.21.2018 22:38
//( AOA          6.2000E+04    9.4000E+04    1.2500E+05    1.8800E+05    2.5000E+05    3.7500E+05    5.0000E+05    7.5000E+05    1.0000E+06    1.5000E+06    2.0000E+06    3.0000E+06    4.0000E+06    6.0000E+06    8.0000E+06    1.2000E+07    1.6000E+07    2.0000E+07    2.4000E+07    3.2000E+07    )
( -2.5000E+01   -6.2720E-01   -6.2940E-01   -6.3370E-01   -6.4120E-01   -6.4500E-01   -6.4580E-01   -6.4980E-01   -6.5630E-01   -4.3580E-01   -4.9060E-01   -6.5590E-01   -7.5950E-01   -7.9250E-01   -8.8670E-01   -1.0680E+00   -1.3577E+00   -1.4715E+00   -1.5197E+00   -1.5742E+00   -1.6809E+00    )
( -2.4000E+01   -5.9520E-01   -5.9600E-01   -5.9900E-01   -6.0440E-01   -6.0880E-01   -6.1630E-01   -6.1700E-01   -6.2130E-01   -5.0260E-01   -5.7790E-01   -7.2220E-01   -8.2680E-01   -8.7070E-01   -1.1042E+00   -1.3206E+00   -1.4494E+00   -1.5279E+00   -1.5672E+00   -1.6029E+00   -1.6665E+00    )
( -2.3000E+01   -5.6320E-01   -5.6420E-01   -5.6910E-01   -5.7410E-01   -5.7490E-01   -5.8030E-01   -5.8450E-01   -5.9350E-01   -5.6940E-01   -6.6520E-01   -7.8850E-01   -8.9410E-01   -9.4890E-01   -1.2888E+00   -1.3986E+00   -1.4846E+00   -1.5487E+00   -1.5851E+00   -1.6042E+00   -1.6521E+00    )
( -2.2000E+01   -5.3120E-01   -5.3270E-01   -5.3590E-01   -5.3930E-01   -5.4660E-01   -5.5110E-01   -5.5700E-01   -5.5650E-01   -6.3620E-01   -7.5250E-01   -8.5480E-01   -1.0321E+00   -1.1548E+00   -1.3572E+00   -1.4270E+00   -1.4934E+00   -1.5457E+00   -1.5738E+00   -1.5974E+00   -1.6377E+00    )
( -2.1000E+01   -5.0000E-01   -5.0070E-01   -5.0220E-01   -5.1700E-01   -5.0980E-01   -5.1900E-01   -5.1910E-01   -5.2455E-01   -7.0300E-01   -8.3980E-01   -9.2110E-01   -1.1624E+00   -1.2349E+00   -1.3795E+00   -1.4258E+00   -1.4862E+00   -1.5261E+00   -1.5568E+00   -1.5801E+00   -1.5241E+00    )
( -2.0000E+01   -4.6940E-01   -4.6890E-01   -4.7080E-01   -4.7470E-01   -4.8500E-01   -4.8290E-01   -4.9140E-01   -4.9260E-01   -7.6980E-01   -9.2710E-01   -1.0162E+00   -1.2062E+00   -1.2773E+00   -1.3702E+00   -1.4105E+00   -1.4674E+00   -1.4993E+00   -1.5082E+00   -1.4811E+00   -1.5407E+00    )
( -1.9000E+01   -4.4090E-01   -4.3860E-01   -4.4050E-01   -4.4600E-01   -4.4710E-01   -4.6610E-01   -4.6420E-01   -4.6820E-01   -8.3660E-01   -9.8860E-01   -1.0848E+00   -1.2148E+00   -1.2821E+00   -1.3500E+00   -1.3894E+00   -1.4047E+00   -1.4271E+00   -1.3886E+00   -1.3926E+00   -1.4911E+00    )
( -1.8000E+01   -4.1050E-01   -4.1390E-01   -4.1090E-01   -4.2340E-01   -4.2060E-01   -4.2340E-01   -4.2700E-01   -4.3310E-01   -9.0340E-01   -1.0190E+00   -1.1117E+00   -1.2038E+00   -1.2655E+00   -1.3214E+00   -1.3585E+00   -1.3420E+00   -1.3813E+00   -1.2968E+00   -1.3041E+00   -1.4232E+00    )
( -1.7000E+01   -3.7850E-01   -3.8400E-01   -3.8700E-01   -4.0050E-01   -4.0370E-01   -3.9825E-01   -4.1960E-01   -8.1670E-01   -9.2990E-01   -1.0232E+00   -1.1054E+00   -1.1828E+00   -1.2400E+00   -1.2630E+00   -1.2562E+00   -1.2925E+00   -1.3118E+00   -1.2049E+00   -1.2155E+00   -1.3319E+00    )
( -1.6000E+01   -3.6060E-01   -3.5650E-01   -3.6080E-01   -3.7870E-01   -3.9160E-01   -3.7310E-01   -3.8080E-01   -8.5410E-01   -9.3240E-01   -1.0140E+00   -1.0885E+00   -1.1537E+00   -1.1658E+00   -1.1699E+00   -1.1889E+00   -1.2126E+00   -1.2141E+00   -1.1131E+00   -1.1270E+00   -1.1459E+00    )
( -1.5000E+01   -3.2860E-01   -3.3340E-01   -3.5100E-01   -3.4940E-01   -3.4920E-01   -3.6230E-01   -3.1410E-01   -8.6240E-01   -9.3130E-01   -1.0188E+00   -1.0457E+00   -1.0684E+00   -1.0507E+00   -1.0734E+00   -9.9900E-01   -1.0235E+00   -1.0459E+00   -1.0601E+00   -1.0734E+00   -1.0984E+00    )
( -1.4000E+01   -3.0890E-01   -3.2760E-01   -3.4130E-01   -3.3070E-01   -3.5920E-01   -3.6610E-01   -3.1300E-01   -8.7280E-01   -9.0990E-01   -9.4580E-01   -9.3920E-01   -8.7600E-01   -8.8220E-01   -9.6625E-01   -9.4000E-01   -9.7020E-01   -9.9730E-01   -1.0367E+00   -1.0456E+00   -1.0593E+00    )
( -1.3000E+01   -2.9430E-01   -3.0840E-01   -3.2200E-01   -3.3470E-01   -3.5320E-01   -4.0320E-01   -8.0410E-01   -8.0890E-01   -8.1270E-01   -7.9250E-01   -7.5710E-01   -7.9520E-01   -8.2700E-01   -8.5910E-01   -8.9310E-01   -9.3550E-01   -9.4750E-01   -9.5670E-01   -9.6260E-01   -9.7040E-01    )
( -1.2000E+01   -2.9120E-01   -3.2730E-01   -3.2030E-01   -3.5010E-01   -4.4380E-01   -4.9915E-01   -7.0700E-01   -6.8500E-01   -6.5410E-01   -6.6840E-01   -7.0670E-01   -7.5090E-01   -7.7920E-01   -8.2170E-01   -8.3330E-01   -8.4930E-01   -8.5740E-01   -8.6220E-01   -8.6540E-01   -8.7130E-01    )
( -1.1000E+01   -3.0270E-01   -3.5170E-01   -3.6900E-01   -3.6840E-01   -6.5360E-01   -5.9510E-01   -5.6070E-01   -5.4590E-01   -5.7190E-01   -6.2610E-01   -6.6400E-01   -7.0670E-01   -7.2180E-01   -7.3510E-01   -7.4330E-01   -7.5080E-01   -7.5650E-01   -7.5980E-01   -7.6250E-01   -7.6560E-01    )
( -1.0000E+01   -3.6950E-01   -5.0780E-01   -6.4100E-01   -5.7730E-01   -5.3250E-01   -4.6330E-01   -4.5780E-01   -4.9430E-01   -5.3680E-01   -5.9000E-01   -6.0590E-01   -6.2350E-01   -6.2980E-01   -6.3840E-01   -6.4200E-01   -6.4740E-01   -6.5050E-01   -6.5180E-01   -6.5380E-01   -6.5570E-01    )
( -9.0000E+00   -4.0130E-01   -6.6390E-01   -5.7300E-01   -4.5340E-01   -4.1910E-01   -3.9540E-01   -4.1360E-01   -4.6540E-01   -4.8730E-01   -5.0740E-01   -5.1820E-01   -5.2680E-01   -5.3010E-01   -5.3420E-01   -5.3640E-01   -5.3910E-01   -5.4010E-01   -5.4130E-01   -5.4200E-01   -5.4310E-01    )
( -8.0000E+00   -7.4660E-01   -5.7940E-01   -4.3710E-01   -3.4800E-01   -3.3560E-01   -3.4990E-01   -3.6850E-01   -3.9350E-01   -4.0450E-01   -4.1420E-01   -4.1950E-01   -4.2260E-01   -4.2430E-01   -4.2560E-01   -4.2680E-01   -4.2750E-01   -4.2730E-01   -4.2830E-01   -4.2800E-01   -4.2860E-01    )
( -7.0000E+00   -6.6600E-01   -4.7670E-01   -3.1240E-01   -2.6630E-01   -2.6780E-01   -2.8340E-01   -2.9270E-01   -3.0380E-01   -3.0900E-01   -3.1300E-01   -3.1400E-01   -3.1430E-01   -3.1440E-01   -3.1400E-01   -3.1380E-01   -3.1310E-01   -3.1290E-01   -3.1260E-01   -3.1270E-01   -3.1170E-01    )
( -6.0000E+00   -5.6010E-01   -3.8465E-01   -2.2250E-01   -1.9990E-01   -1.9590E-01   -1.9880E-01   -2.0160E-01   -2.0440E-01   -2.0600E-01   -2.0610E-01   -2.0480E-01   -2.0300E-01   -2.0210E-01   -2.0040E-01   -1.9870E-01   -1.9740E-01   -1.9670E-01   -1.9580E-01   -1.9510E-01   -1.9460E-01    )
( -5.0000E+00   -4.5930E-01   -2.9260E-01   -1.7240E-01   -1.2580E-01   -1.1650E-01   -1.0900E-01   -1.0430E-01   -1.0080E-01   -9.9400E-02   -9.6300E-02   -9.3100E-02   -8.9700E-02   -8.7800E-02   -8.4600E-02   -8.2700E-02   -8.0700E-02   -7.8700E-02   -7.8100E-02   -7.7200E-02   -7.5500E-02    )
( -4.0000E+00   -4.0640E-01   -2.1540E-01   -6.6500E-02   -1.6700E-02   -4.1000E-03    2.1000E-03    4.6000E-03    7.7000E-03    1.0000E-02    1.6000E-02    2.0200E-02    2.4900E-02    2.8200E-02    3.2300E-02    3.4200E-02    3.7800E-02    3.9200E-02    4.1100E-02    4.2200E-02    4.3300E-02    )
( -3.0000E+00   -3.8590E-01   -1.6490E-01    3.9500E-02    8.9300E-02    1.0700E-01    1.1680E-01    1.2000E-01    1.2380E-01    1.2740E-01    1.3320E-01    1.3680E-01    1.4210E-01    1.4590E-01    1.4970E-01    1.5310E-01    1.5610E-01    1.5900E-01    1.6010E-01    1.6130E-01    1.6320E-01    )
