// 10.24.2018 14:18
//( AOA          4.0000E+04    6.0000E+04    8.0000E+04    1.0000E+05    1.3000E+05    1.6000E+05    2.0000E+05    2.5000E+05    3.0000E+05    5.0000E+05    1.0000E+06    3.0000E+06    5.0000E+06    )
(  8.0000E+00    9.1700E-02    5.8200E-02    3.0200E-02    2.4000E-02    2.0800E-02    1.9400E-02    1.8700E-02    1.8300E-02    1.8200E-02    1.7400E-02    1.5900E-02    1.3800E-02    1.3000E-02    )
(  9.0000E+00    9.5500E-02    3.5800E-02    2.8200E-02    2.6500E-02    2.5200E-02    2.5000E-02    2.4600E-02    2.3800E-02    2.3200E-02    2.0900E-02    1.8400E-02    1.5500E-02    1.4400E-02    )
(  1.0000E+01    9.7700E-02    4.0900E-02    3.8000E-02    3.6000E-02    3.4000E-02    3.2700E-02    3.1100E-02    2.9200E-02    2.9000E-02    2.5300E-02    2.1400E-02    1.7500E-02    1.6000E-02    )
(  1.1000E+01    6.0300E-02    5.2300E-02    4.8200E-02    4.5600E-02    4.3900E-02    4.1800E-02    4.0200E-02    3.7200E-02    3.5800E-02    2.9900E-02    2.6600E-02    2.0000E-02    1.8200E-02    )
(  1.2000E+01    7.8600E-02    6.6000E-02    6.0600E-02    5.6300E-02    5.3900E-02    5.2400E-02    5.0500E-02    4.8700E-02    4.5900E-02    3.9200E-02    3.2300E-02    2.4400E-02    2.0700E-02    )
(  1.3000E+01    1.0860E-01    8.6400E-02    7.5200E-02    6.9100E-02    6.7200E-02    6.4600E-02    6.3800E-02    6.0300E-02    6.0200E-02    4.9500E-02    3.9200E-02    2.8800E-02    2.4000E-02    )
(  1.4000E+01    1.6660E-01    1.1805E-01    9.5500E-02    9.3300E-02    8.5200E-02    8.3400E-02    7.6900E-02    7.5700E-02    7.5300E-02    6.4200E-02    4.9200E-02    3.4900E-02    2.8600E-02    )
(  1.5000E+01    2.2040E-01    1.6330E-01    1.2380E-01    1.1817E-01    1.0810E-01    1.0130E-01    9.4700E-02    9.7500E-02    9.1100E-02    8.3400E-02    6.2100E-02    4.3300E-02    3.5200E-02    )
(  1.6000E+01    2.3980E-01    2.1930E-01    1.9110E-01    1.4750E-01    1.4720E-01    1.2900E-01    1.1810E-01    1.2280E-01    1.1100E-01    1.0770E-01    7.7800E-02    5.4800E-02    4.3500E-02    )
(  1.7000E+01    2.6810E-01    2.5780E-01    2.2470E-01    2.1710E-01    2.0650E-01    2.0830E-01    1.5960E-01    1.5460E-01    1.3860E-01    1.3560E-01    9.6200E-02    6.8600E-02    5.5000E-02    )
(  1.8000E+01    2.6700E-01    2.7680E-01    2.6820E-01    2.6390E-01    2.5420E-01    2.5800E-01    2.3280E-01    1.9670E-01    1.8930E-01    1.6940E-01    1.1780E-01    8.7500E-02    6.8100E-02    )
(  1.9000E+01    2.9590E-01    2.8680E-01    2.8520E-01    2.8870E-01    2.8670E-01    2.7300E-01    2.8170E-01    2.7130E-01    2.4850E-01    2.0840E-01    1.4210E-01    1.0740E-01    8.6200E-02    )
(  2.0000E+01    3.2140E-01    3.2680E-01    3.2020E-01    3.0920E-01    3.0880E-01    3.0910E-01    3.0800E-01    3.0630E-01    3.0770E-01    2.7960E-01    1.7670E-01    1.3090E-01    1.0470E-01    )
(  2.1000E+01    3.2190E-01    3.2020E-01    3.2220E-01    3.0980E-01    3.1480E-01    3.1893E-01    3.1580E-01    3.3310E-01    3.0740E-01    3.3560E-01    2.4070E-01    1.6110E-01    1.2380E-01    )
