time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
47.05,0.500000000001,0.0243843414036,28.5391633365,-15.0404927765,42.268268474,9626454.4277,5.39152106052,9.03268181391,1.09323111922,0.00891830204687,14718.8219216,1330.80408416,2677.65377868,1
47.1,0.500000000001,0.0243843414036,29.4338734514,-13.2040660612,42.2508776796,9622493.73341,5.07626717193,9.03268181391,1.05904310422,0.00850318416527,14262.1340986,1091.84449637,2597.46389631,1
47.15,0.500000000001,0.0243843414036,30.2105604878,-11.3146940708,42.2324922863,9618306.5226,4.83700823426,9.03268181391,1.0327221721,0.0081839912422,13906.6222619,882.907147964,2539.47398368,1
47.2,0.500000000001,0.0243843414036,30.8661101088,-9.37995275346,42.2144068224,9614187.61969,4.66450317576,9.03268181391,1.01361948379,0.00795238620427,13645.3625891,695.774614412,2501.62585311,1
47.25,0.500000000001,0.0243843414036,31.3978937107,-7.40759997792,42.1957248209,9609932.85737,4.54685164796,9.03268181391,1.0005938905,0.00779419160511,13463.176245,523.149571768,2479.460007,1
47.3,0.500000000001,0.0243843414036,31.8037789635,-5.40554442622,42.1771869476,9605710.91976,4.48576645638,9.03268181391,0.993834408465,0.00771175104451,13363.075212,360.397127437,2474.76586036,1
47.35,0.500000000001,0.0243843414036,32.0821383604,-3.38181388173,42.1595788993,9601700.74662,4.47576932833,9.03268181391,0.992733494199,0.00769777692768,13337.5506275,202.468424618,2485.52709376,1
47.4,0.500000000001,0.0243843414036,32.231855744,-1.34452303957,42.143909166,9598132.01814,4.510138203,9.03268181391,0.996545848564,0.0077433173798,13377.3580316,45.0279446908,2508.88533366,1
47.45,0.500000000001,0.0243843414036,32.252330782,0.69815903146,42.1310547745,9595204.47418,4.58146185034,9.03268181391,1.00445003866,0.00783848417208,13472.1688133,-115.430646538,2541.35494976,1
47.5,0.500000000001,0.0243843414036,32.1434813742,2.73804164498,42.1222157062,9593191.40645,4.68630542979,9.03268181391,1.01606511513,0.00797871810852,13617.6388586,-281.759850305,2581.24706457,1
47.55,0.500000000001,0.0243843414036,31.9057439818,4.76694533977,42.1183094402,9592301.76763,4.81165290716,9.03268181391,1.02994925937,0.00814659824381,13795.524971,-455.600989297,2621.68841767,1
47.6,0.500000000001,0.0243843414036,31.5400718771,6.77673467758,42.1193668464,9592542.5883,4.94814045139,9.03268181391,1.04506561437,0.00832956152573,13992.4005779,-637.349098533,2657.30904809,1
47.65,0.500000000001,0.0243843414036,31.0479313214,8.75935086433,42.1253709364,9593909.99939,5.08620829474,9.03268181391,1.06015141038,0.00851312557548,14191.8808493,-825.930923123,2681.98654671,1
47.7,0.500000000001,0.0243843414036,30.4312956854,10.706844064,42.136064173,9596345.34766,5.21911697519,9.03268181391,1.07455504663,0.00868891771507,14385.5265859,-1019.59141391,2691.80752914,1
47.75,0.500000000001,0.0243843414036,29.6926375365,12.6114052758,42.1512346828,9599800.37968,5.34598419072,9.03268181391,1.0883047804,0.00885668626567,14573.7552703,-1217.00577718,2686.05490003,1
47.8,0.500000000001,0.0243843414036,28.8349187243,14.4653976463,42.1705935504,9604209.29595,5.46459954762,9.03268181391,1.10116172953,0.00901345532838,14753.4061357,-1416.24514127,2663.18128376,1
47.85,0.500000000001,0.0243843414036,27.8615785045,16.2613870915,42.1922575906,9609143.20747,5.56639204464,9.03268181391,1.11219712057,0.00914787413786,14911.2564891,-1613.05835852,2618.66673803,1
47.9,0.500000000001,0.0243843414036,26.7765197481,17.9921721057,42.2159604362,9614541.44996,5.6462935505,9.03268181391,1.12086118966,0.00925328050998,15040.060665,-1803.26314005,2550.48570757,1
