time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
0.05,0.366666666667,0.0294924412073,-0.726067560479,24.0522684952,32.5422122164,8385126.33336,11.5167266028,11.5167266028,1.57774804867,0.0162114459198,13666.1860141,-4945.14680703,-308.951919064,1
0.1,0.366666666667,0.0294924412073,-2.2469040594,23.9580929127,32.5500968759,8387157.9674,11.2341982691,11.5167266028,1.55946253981,0.0155612244254,13536.8819528,-4798.81113162,-606.619879354,1
0.15,0.366666666667,0.0294924412073,-3.75873098861,23.7678508751,32.5579113929,8389171.52788,10.9963085002,11.5167266028,1.54408077741,0.0150157005732,13428.3506009,-4654.76545919,-890.814925977,1
0.2,0.366666666667,0.0294924412073,-5.25548626904,23.4823052093,32.5635213889,8390617.05115,10.7830936247,11.5167266028,1.53102436018,0.0146420360303,13336.0319694,-4505.83154421,-1162.19818146,1
0.25,0.366666666667,0.0294924412073,-6.73116825547,23.1026008878,32.571473762,8392666.1329,10.6351012396,11.5167266028,1.52196537339,0.0143825594278,13274.9793746,-4368.04088842,-1427.03521779,1
0.3,0.366666666667,0.0294924412073,-8.17985980172,22.630260438,32.5761792803,8393878.60012,10.5013080207,11.5167266028,1.51377196597,0.0141481317296,13217.4911545,-4219.79440199,-1681.06436077,1
0.35,0.366666666667,0.0294924412073,-9.59575198713,22.0671778365,32.583774964,8395835.77399,10.4187751549,11.5167266028,1.50872170982,0.0140033868223,13185.7534444,-4076.74314942,-1931.42545924,1
0.4,0.366666666667,0.0294924412073,-10.9731674089,21.4156109154,32.5912844212,8397770.72993,10.3617896816,11.5167266028,1.50523633177,0.013903399954,13165.6239277,-3928.07803886,-2175.47763077,1
0.45,0.366666666667,0.0294924412073,-12.3065829473,20.6781723087,32.5974590237,8399361.73493,10.3146622893,11.5167266028,1.50235349749,0.0138207319808,13148.902574,-3767.99395364,-2410.4481276,1
0.5,0.366666666667,0.0294924412073,-13.5906519119,19.8578189758,32.6073006128,8401897.60949,10.3056982133,11.5167266028,1.50181261031,0.0138047570406,13152.7734097,-3607.17372431,-2643.58129658,1
0.55,0.366666666667,0.0294924412073,-14.8202254809,18.9578403453,32.6160954094,8404163.75785,10.2955013896,11.5167266028,1.50119515585,0.0137866613504,13155.2173724,-3431.34990078,-2865.51994903,1
0.6,0.366666666667,0.0294924412073,-15.9903733464,17.9818451252,32.6271161155,8407003.45455,10.2990845235,11.5167266028,1.50142428523,0.013792610829,13165.8502776,-3246.36814962,-3080.04212183,1
0.65,0.366666666667,0.0294924412073,-17.0964034839,16.9337468323,32.6407899571,8410526.7826,10.3155847996,11.5167266028,1.50244774317,0.0138210686291,13184.6370546,-3052.02204524,-3286.98015052,1
0.7,0.366666666667,0.0294924412073,-18.1338809664,15.8177481002,32.6545253749,8414065.97695,10.3257367657,11.5167266028,1.50308222738,0.013838411666,13200.5475802,-2842.87112267,-3479.68149051,1
0.75,0.366666666667,0.0294924412073,-19.0986457473,14.6383238277,32.6691495715,8417834.18222,10.333118154,11.5167266028,1.50354773657,0.0138508765945,13215.9112948,-2621.0437094,-3658.36405838,1
0.8,0.366666666667,0.0294924412073,-19.9868293411,13.4002032357,32.687360036,8422526.45834,10.3537347636,11.5167266028,1.50482839161,0.0138863503031,13240.3674751,-2391.3543796,-3828.29456326,1
0.85,0.366666666667,0.0294924412073,-20.7948703354,12.1083509034,32.7062242183,8427387.17744,10.3631197199,11.5167266028,1.50542099557,0.0139021623686,13260.165602,-2148.5719518,-3979.95401509,1
0.9,0.366666666667,0.0294924412073,-21.5195286712,10.7679468625,32.7271460305,8432778.08441,10.3664286937,11.5167266028,1.50564282011,0.0139072905039,13278.8404999,-1895.37699129,-4114.49519523,1
0.95,0.366666666667,0.0294924412073,-22.157898635,9.38436582541,32.747467729,8438014.36052,10.3516085225,11.5167266028,1.5047515145,0.0138807930657,13288.5826296,-1631.04054635,-4225.89369721,1
1,0.366666666667,0.0294924412073,-22.7074205097,7.96315563474,32.7704218059,8443928.91956,10.3493480308,11.5167266028,1.50463319659,0.0138761460748,13306.3404813,-1361.95792242,-4325.8987001,1
1.05,0.366666666667,0.0294924412073,-23.1658908385,6.5100150172,32.7940377365,8450014.01788,10.3383483727,11.5167266028,1.50397881107,0.0138562433308,13320.5596985,-1085.94106407,-4405.49062512,1
1.1,0.366666666667,0.0294924412073,-23.5314712607,5.03077073323,32.8169478343,8455917.24485,10.3109579485,11.5167266028,1.5023168794,0.0138078091275,13326.5050106,-804.084369399,-4460.70373267,1
1.15,0.366666666667,0.0294924412073,-23.8026958828,3.53135421299,32.8401978946,8461908.06966,10.2774924777,11.5167266028,1.50028134137,0.0137488213528,13329.8351176,-519.320388886,-4495.54071373,1
1.2,0.366666666667,0.0294924412073,-23.9784771561,2.01777777266,32.8625018033,8467655.10035,10.2346269271,11.5167266028,1.49766658076,0.0136735387764,13327.9082437,-233.160607912,-4508.14118747,1
1.25,0.366666666667,0.0294924412073,-24.0581102381,0.496110506464,32.8825195107,8472813.04734,10.173015428,11.5167266028,1.49389692054,0.0135657412979,13315.1791131,52.415399132,-4494.31350108,1
1.3,0.366666666667,0.0294924412073,-24.0412758185,-1.02754604903,32.9017912581,8477778.78341,10.1164092951,11.5167266028,1.49043292948,0.0134667510861,13304.1036207,335.443619602,-4464.32107863,1
1.35,0.366666666667,0.0294924412073,-23.9280413994,-2.54708238064,32.9179497509,8481942.32958,10.0486001277,11.5167266028,1.48627675841,0.0133484067478,13285.0726603,614.148327224,-4411.25185424,1
1.4,0.366666666667,0.0294924412073,-23.7188610248,-4.05640549637,32.9310529553,8485318.622,9.96677474946,11.5167266028,1.480321902,0.0132124563066,13248.4586252,885.608558641,-4331.69134902,1
1.45,0.366666666667,0.0294924412073,-23.4145734601,-5.54946335683,32.9414300646,8487992.48363,9.89414736817,11.5167266028,1.4738222144,0.0131004932639,13204.0133239,1149.37607302,-4235.20427021,1
1.5,0.366666666667,0.0294924412073,-23.0163988285,-7.02026914263,32.94893903,8489927.31285,9.81619668217,11.5167266028,1.46684282995,0.0129804264262,13153.2357271,1403.46019267,-4119.72748023,1
1.55,0.366666666667,0.0294924412073,-22.5259337189,-8.46292526003,32.9531568417,8491014.1131,9.73011681928,11.5167266028,1.45913257936,0.0128479254087,13093.7472141,1645.78882089,-3984.86487808,1
1.6,0.366666666667,0.0294924412073,-21.945144784,-9.87164698905,32.9539186761,8491210.41436,9.65810913494,11.5167266028,1.45268118457,0.012737126379,13041.6812988,1879.41424448,-3841.47341062,1
1.65,0.366666666667,0.0294924412073,-21.276360854,-11.2407856788,32.950410336,8490306.42313,9.58600540243,11.5167266028,1.44621954379,0.0126262086884,12986.0922132,2101.04648678,-3683.73181537,1
1.7,0.366666666667,0.0294924412073,-20.5222635991,-12.5648513973,32.9451802093,8488958.78047,9.51452265271,11.5167266028,1.43981340629,0.0125162366373,12929.5615957,2310.325931,-3513.47495605,1
1.75,0.366666666667,0.0294924412073,-19.6858767762,-13.8385349448,32.9385307421,8487245.41745,9.45693966668,11.5167266028,1.43465272497,0.0124276355177,12882.0925189,2510.43763531,-3336.7760689,1
1.8,0.366666666667,0.0294924412073,-18.7705541045,-15.0567291426,32.9320875487,8485585.20488,9.39572526824,11.5167266028,1.4291673846,0.0123334198975,12832.1164873,2696.49806375,-3147.73900255,1
1.85,0.366666666667,0.0294924412073,-17.779965818,-16.2145493115,32.9198341045,8482427.8695,9.34843998274,11.5167266028,1.42492934836,0.012260613221,12787.8426836,2872.46518013,-2952.41647035,1
1.9,0.366666666667,0.0294924412073,-16.7180839484,-17.3073528582,32.9095964706,8479789.9464,9.30057597975,11.5167266028,1.42064067325,0.0121868843983,12744.7427334,3034.83365292,-2747.73341072,1
1.95,0.366666666667,0.0294924412073,-15.5891663983,-18.3307578914,32.9000862432,8477339.45356,9.26426562267,11.5167266028,1.41738753951,0.012130923918,12710.7132309,3187.36851026,-2537.97359143,1
2,0.366666666667,0.0294924412073,-14.397739868,-19.2806607915,32.8882868416,8474299.11098,9.22660987095,11.5167266028,1.41401428409,0.0120728556415,12673.9508719,3324.64615102,-2319.31962068,1
2.05,0.366666666667,0.0294924412073,-13.1485817046,-20.1532526661,32.8770697262,8471408.80563,9.19990507102,11.5167266028,1.41162228134,0.0120316389276,12645.7050463,3451.67192673,-2096.29313572,1
2.1,0.366666666667,0.0294924412073,-11.8467007456,-20.9450346218,32.869324468,8469413.09103,9.17424191929,11.5167266028,1.40932414707,0.0119920337957,12620.9157352,3565.07048215,-1867.15805039,1
2.15,0.366666666667,0.0294924412073,-10.497317235,-21.6528317948,32.8578760382,8466463.18309,9.15241319571,11.5167266028,1.40736951904,0.0119582973792,12596.1130458,3664.19645831,-1632.47597968,1
2.2,0.366666666667,0.0294924412073,-9.10584189102,-22.2738060807,32.8506445367,8464599.84777,9.13648410652,11.5167266028,1.40594342685,0.0119336782509,12578.8881843,3751.53309689,-1394.08250526,1
2.25,0.366666666667,0.0294924412073,-7.67785421046,-22.8054675152,32.8428064891,8462580.22418,9.11491519056,11.5167266028,1.40401269106,0.0119003486293,12557.0745282,3820.77267822,-1150.39503338,1
2.3,0.366666666667,0.0294924412073,-6.21908009629,-23.245684258,32.8366596983,8460996.3854,9.10252061334,11.5167266028,1.40290334037,0.0118811750966,12543.2903891,3878.83988056,-904.616469365,1
2.35,0.366666666667,0.0294924412073,-4.73536889796,-23.5926911408,32.8313533446,8459629.10139,9.08662748328,11.5167266028,1.40148096073,0.0118566083643,12527.590306,3919.74774306,-655.873077639,1
2.4,0.366666666667,0.0294924412073,-3.23266995694,-23.8450967458,32.8254348987,8458104.10007,9.06652323401,11.5167266028,1.39968185531,0.0118255330586,12508.343914,3942.67452189,-405.370312597,1
2.45,0.366666666667,0.0294924412073,-1.71700875116,-24.0018889843,32.8235038874,8457606.53791,9.05914209058,11.5167266028,1.39902136034,0.0118141246959,12501.4639246,3956.53356372,-154.869261766,1
2.5,0.366666666667,0.0294924412073,-0.194462734267,-24.0624391555,32.818767037,8456385.99738,9.03654458653,11.5167266028,1.39699930256,0.0117792058336,12481.2992318,3946.77683034,95.5732319278,1
2.55,0.366666666667,0.0294924412073,1.32886303356,-24.026504467,32.8180525731,8456201.90204,9.02893514985,11.5167266028,1.39631837181,0.0117674563011,12475.1791487,3929.12903672,344.853843134,1
2.6,0.366666666667,0.0294924412073,2.84686036555,-23.8942290088,32.8149443896,8455401.01883,9.00655097968,11.5167266028,1.39431546506,0.0117328787031,12456.4119055,3888.43715048,591.171124596,1
2.65,0.366666666667,0.0294924412073,4.35344244072,-23.666143175,32.8144529652,8455274.39389,8.99191161085,11.5167266028,1.39291122684,0.0117103648079,12444.4671674,3836.22457948,834.566334332,1
2.7,0.366666666667,0.0294924412073,5.84256821064,-23.3431615376,32.8130870713,8454922.44505,8.97092221359,11.5167266028,1.39078852272,0.0116781716085,12425.8625293,3765.38826566,1072.75037177,1
