time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
0.05,0.233333333333,0.0350412073374,13.8467996945,-7.75389855646,23.1095272765,6456093.34114,17.9445491941,17.9445491941,1.79702169401,0.0628256228002,8027.9409586,1875.75354101,3752.20302028,1
0.1,0.233333333333,0.0350412073374,14.3097904613,-6.8619750479,23.1182657337,6458534.59813,17.7263367956,17.9445491941,1.7967298316,0.0605344460681,8043.01975251,1627.03145561,3846.84855567,1
0.15,0.233333333333,0.0350412073374,14.7154022519,-5.94253659395,23.1255996884,6460583.4802,17.526361483,17.9445491941,1.79645756157,0.058435210715,8056.32219877,1374.32109326,3926.26816408,1
0.2,0.233333333333,0.0350412073374,15.062008656,-4.99926993184,23.133821959,6462880.5305,17.3611663354,17.9445491941,1.79623912154,0.0567005443825,8068.82795453,1119.17528008,3992.74603397,1
0.25,0.233333333333,0.0350412073374,15.3482198616,-4.03595734444,23.1401652722,6464652.65772,17.2139026498,17.9445491941,1.79603932579,0.055154635189,8079.25374407,861.395292812,4043.73588137,1
0.3,0.233333333333,0.0350412073374,15.5728882273,-3.05646149418,23.1486834884,6467032.38615,17.1089462945,17.9445491941,1.79591019234,0.0540517263546,8089.52633873,602.465611767,4083.03375657,1
0.35,0.233333333333,0.0350412073374,15.7351128846,-2.06470993466,23.1549017213,6468769.56974,17.0167926885,17.9445491941,1.79579147535,0.0530838264747,8097.63964892,342.081480419,4106.19949737,1
0.4,0.233333333333,0.0350412073374,15.8342433498,-1.06467936208,23.1634786444,6471165.69907,16.9571720957,17.9445491941,1.79561247609,0.0524802708115,8105.67538982,81.327633502,4116.47361235,1
0.45,0.233333333333,0.0350412073374,15.8698821325,-0.0603796695594,23.170277247,6473065.0202,16.9039026574,17.9445491941,1.79540867649,0.0519496450224,8112.07621934,-179.333481891,4110.09655217,1
0.5,0.233333333333,0.0350412073374,15.8418863294,0.944162131583,23.1785732275,6475382.66276,16.8698545422,17.9445491941,1.79529237625,0.0516093147273,8118.99441445,-439.105457548,4089.84969198,1
0.55,0.233333333333,0.0350412073374,15.7503681972,1.94491805923,23.1872053677,6477794.21808,16.8438088248,17.9445491941,1.79521158523,0.0513482920743,8125.9253353,-697.185672585,4054.17596295,1
0.6,0.233333333333,0.0350412073374,15.5956947026,2.93787531173,23.1947501866,6479902.00913,16.813966312,17.9445491941,1.79511100708,0.0510499054827,8132.1907592,-952.329627647,4001.44336049,1
0.65,0.233333333333,0.0350412073374,15.3784860509,3.91905235837,23.2066952476,6483239.09293,16.8090542149,17.9445491941,1.79513213424,0.0509976220564,8140.89153347,-1204.80931897,3936.79569748,1
0.7,0.233333333333,0.0350412073374,15.0996131988,4.88451490431,23.216427444,6485957.97018,16.7988605746,17.9445491941,1.79512309113,0.0508935765548,8148.16374717,-1452.4424345,3854.92680436,1
0.75,0.233333333333,0.0350412073374,14.7601943626,5.8303916663,23.2260964263,6488659.18738,16.7821723053,17.9445491941,1.79508635696,0.0507250915004,8155.5828738,-1694.25222584,3756.82059808,1
0.8,0.233333333333,0.0350412073374,14.3615905339,6.75288989554,23.2379046871,6491958.05336,16.7797760542,17.9445491941,1.79511789279,0.0506978099332,8164.12687613,-1930.53172715,3645.62765195,1
0.85,0.233333333333,0.0350412073374,13.9054000226,7.64831058583,23.2477470798,6494707.7161,16.7462307901,17.9445491941,1.79501064832,0.0503619646408,8172.16939679,-2157.42890663,3516.05255215,1
0.9,0.233333333333,0.0350412073374,13.3934520479,8.51306330566,23.2610501982,6498424.19948,16.7364845364,17.9445491941,1.79501662119,0.0502612843769,8182.01226012,-2377.84347223,3375.54271,1
0.95,0.233333333333,0.0350412073374,12.8277994037,9.34368059504,23.2741810491,6502092.55663,16.7108387432,17.9445491941,1.79495497002,0.0500028470871,8192.20139615,-2588.01508998,3219.80291434,1
1,0.233333333333,0.0350412073374,12.2107102275,10.1368318692,23.2879053187,6505926.69672,16.6725160238,17.9445491941,1.79484228696,0.0496184014599,8203.19519245,-2787.23345294,3050.11027015,1
1.05,0.233333333333,0.0350412073374,11.5446589051,10.8893367737,23.2997465951,6509234.78629,16.6377478358,17.9445491941,1.79473825773,0.0492697834784,8212.73759694,-2975.12206817,2867.90295203,1
1.1,0.233333333333,0.0350412073374,10.8323161495,11.5981779363,23.3089397797,6511803.08017,16.5948547102,17.9445491941,1.79459085108,0.0488413006669,8220.61417132,-3149.71541612,2672.92987193,1
1.15,0.233333333333,0.0350412073374,10.0765382918,12.2605130667,23.3191512721,6514655.85807,16.5377364199,17.9445491941,1.79438770448,0.0482713065735,8229.64375841,-3310.62740069,2466.62839045,1
1.2,0.233333333333,0.0350412073374,9.28035582767,12.873686353,23.3311008645,6517994.20777,16.4800433876,17.9445491941,1.79418901419,0.0476950688929,8239.94999924,-3458.53502632,2250.98736664,1
