time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
0.05,0.0277235772357,0.0510737671329,2.51872256275,-2.13511766291,12.1430128739,2618829.10147,57.0140354414,57.0140354414,0,0.5,251.999383648,-19.8882458277,-90.2891213757,1
0.1,0.0277235772357,0.0510737671329,2.64880654994,-1.9714245214,12.1591654007,2622312.64445,56.9979479865,57.0140354414,0,0.5,252.645710025,-14.2283591141,-91.6689151577,1
0.15,0.0277235772357,0.0510737671329,2.76826943066,-1.79982641993,12.1726903517,2625229.50995,56.9782085845,57.0140354414,0,0.5,253.177464447,-8.47030790021,-92.6700702544,1
0.2,0.0277235772357,0.0510737671329,2.87663218617,-1.6210114275,12.1840454393,2627678.41075,56.9570864199,57.0140354414,0,0.5,253.616980771,-2.63916828522,-93.2826026219,1
0.25,0.0277235772357,0.0510737671329,2.97346030669,-1.43569655121,12.1936104717,2629741.25836,56.9355368951,57.0140354414,0,0.5,253.981401179,3.237617756,-93.5026528645,1
0.3,0.0277235772357,0.0510737671329,3.05836553367,-1.24462486118,12.2014322438,2631428.14485,56.9134623207,57.0140354414,0,0.5,254.272371116,9.13203693425,-93.3279316527,1
0.35,0.0277235772357,0.0510737671329,3.13100741663,-1.04856251105,12.2075803731,2632754.08431,56.8908925586,57.0140354414,0,0.5,254.492730192,15.0161674356,-92.7580188935,1
0.4,0.0277235772357,0.0510737671329,3.1910946783,-0.84829566585,12.2121154556,2633732.14521,56.8679518374,57.0140354414,0,0.5,254.645129128,20.8622163245,-91.7939820734,1
0.45,0.0277235772357,0.0510737671329,3.23838638254,-0.644627349684,12.2151317542,2634382.65679,56.8444519811,57.0140354414,0,0.5,254.733152132,26.6426892288,-90.4408263908,1
0.5,0.0277235772357,0.0510737671329,3.27269290047,-0.438374225763,12.2163076637,2634636.25992,56.8187050884,57.0140354414,0,0.5,254.740610004,32.3301581922,-88.7059802014,1
0.55,0.0277235772357,0.0510737671329,3.29387667082,-0.230363321787,12.2163489658,2634645.16735,56.7925609972,57.0140354414,0,0.5,254.699975256,37.9000604026,-86.5983521854,1
0.6,0.0277235772357,0.0510737671329,3.30185275153,-0.0214287137489,12.2155100783,2634464.24825,56.766404627,57.0140354414,0,0.5,254.622515718,43.3280079594,-84.1281973156,1
0.65,0.0277235772357,0.0510737671329,3.29658916036,0.187591818514,12.2139531374,2634128.4698,56.7401647412,57.0140354414,0,0.5,254.514909061,48.5907398776,-81.307963738,1
0.7,0.0277235772357,0.0510737671329,3.27810700309,0.395860150629,12.2118226862,2633669.00494,56.7140077084,57.0140354414,0,0.5,254.383483083,53.6658438482,-78.1502528822,1
0.75,0.0277235772357,0.0510737671329,3.24648038894,0.602541174375,12.2086297763,2632980.40438,56.6878811864,57.0140354414,0,0.5,254.207784565,58.5273422027,-74.6615500166,1
0.8,0.0277235772357,0.0510737671329,3.20183613337,0.806806146271,12.2057768934,2632365.13593,56.6629956213,57.0140354414,0,0.5,254.048308955,63.1626623455,-70.8698724172,1
0.85,0.0277235772357,0.0510737671329,3.14435324959,1.00783601065,12.2015022574,2631443.24438,56.6373353369,57.0140354414,0,0.5,253.82834146,67.5406379072,-66.7761692249,1
0.9,0.0277235772357,0.0510737671329,3.07426223079,1.20482468389,12.1963501366,2630332.1096,56.6109817343,57.0140354414,0,0.5,253.570769817,71.6461853884,-62.4045795705,1
0.95,0.0277235772357,0.0510737671329,2.99184412587,1.3969822866,12.1901869809,2629002.92945,56.5831068621,57.0140354414,0,0.5,253.268749766,75.4620443403,-57.775092682,1
1,0.0277235772357,0.0510737671329,2.89742941252,1.5835383109,12.1834404971,2627547.94556,56.5525175886,57.0140354414,0,0.5,252.938205381,78.9803050008,-52.9155455157,1
1.05,0.0277235772357,0.0510737671329,2.79139667206,1.76374470993,12.1765146499,2626054.27917,56.5197537572,57.0140354414,0,0.5,252.596853212,82.1905429557,-47.8470276239,1
1.1,0.0277235772357,0.0510737671329,2.67417107147,1.93687889738,12.1695611204,2624554.64268,56.4871514166,57.0140354414,0,0.5,252.254817984,85.0746720818,-42.5832888652,1
1.15,0.0277235772357,0.0510737671329,2.54622265849,2.10224664489,12.1623645803,2623002.59716,56.4541002254,57.0140354414,0,0.5,251.902172868,87.6200625095,-37.1453175469,1
1.2,0.0277235772357,0.0510737671329,2.40806447692,2.25918486574,12.1547407025,2621358.38964,56.4203287628,57.0140354414,0,0.5,251.530857588,89.8145858495,-31.5543945718,1
1.25,0.0277235772357,0.0510737671329,2.26025050935,2.40706427367,12.1468941925,2619666.16804,56.3862068387,57.0140354414,0,0.5,251.149998377,91.6505094541,-25.8337754528,1
1.3,0.0277235772357,0.0510737671329,2.10337345587,2.54529190619,12.1388107891,2617922.8567,56.3515621231,57.0140354414,0,0.5,250.758747147,93.120636619,-20.0068305407,1
1.35,0.0277235772357,0.0510737671329,1.93806235748,2.67331350221,12.1301988771,2616065.56428,56.3162569132,57.0140354414,0,0.5,250.344849159,94.2149940084,-14.0960581022,1
1.4,0.0277235772357,0.0510737671329,1.76498007374,2.79061572451,12.121108916,2614105.17316,56.2801413187,57.0140354414,0,0.5,249.910204388,94.9301821366,-8.12638310474,1
1.45,0.0277235772357,0.0510737671329,1.5848206249,2.89672821809,12.109507228,2611603.08916,56.2423057837,57.0140354414,0,0.5,249.369489519,95.2353849833,-2.11892914109,1
1.5,0.0277235772357,0.0510737671329,1.39830640901,2.9912254962,12.0964725505,2608791.95874,56.2001663756,57.0140354414,0,0.5,248.763292339,95.1565103695,3.89282048105,1
1.55,0.0277235772357,0.0510737671329,1.20618530528,3.07372864644,12.0834634659,2605986.34785,56.1576149422,57.0140354414,0,0.5,248.158215937,94.7001868041,9.88601037444,1
1.6,0.0277235772357,0.0510737671329,1.00922767524,3.1439068501,12.0694943887,2602973.69964,56.1153053273,57.0140354414,0,0.5,247.514837942,93.8501093699,15.8365043346,1
1.65,0.0277235772357,0.0510737671329,0.808223273803,3.2014787087,12.0554532997,2599945.52098,56.0731432641,57.0140354414,0,0.5,246.869596942,92.6242510617,21.7190065402,1
1.7,0.0277235772357,0.0510737671329,0.603978082494,3.24621337229,12.0413757221,2596909.47299,56.0314627646,57.0140354414,0,0.5,246.224506221,91.026931297,27.5096786858,1
1.75,0.0277235772357,0.0510737671329,0.397311077664,3.27793146514,12.0270726474,2593824.79303,55.9903777262,57.0140354414,0,0.5,245.572027137,89.0615226449,33.1841261954,1
1.8,0.0277235772357,0.0510737671329,0.189050946579,3.29650580497,12.0128529615,2590758.09718,55.9500002814,57.0140354414,0,0.5,244.9249968,86.7406286466,38.7199337441,1
1.85,0.0277235772357,0.0510737671329,-0.0199672354217,3.30186191294,11.9985513117,2587673.72453,55.9104559195,57.0140354414,0,0.5,244.27686024,84.0710097067,44.0936602496,1
1.9,0.0277235772357,0.0510737671329,-0.22890535339,3.29397831228,11.9842547726,2584590.4541,55.87186941,57.0140354414,0,0.5,243.631379122,81.064758947,49.2834612377,1
1.95,0.0277235772357,0.0510737671329,-0.436925613416,3.27288661443,11.9700836094,2581534.22292,55.8343116161,57.0140354414,0,0.5,242.993555609,77.7359818551,54.2688116355,1
2,0.0277235772357,0.0510737671329,-0.64319390199,3.23867139226,11.9558953398,2578474.30249,55.7976548694,57.0140354414,0,0.5,242.357371476,74.0971841061,59.028591877,1
2.05,0.0277235772357,0.0510737671329,-0.846883130604,3.19146984095,11.94174622,2575422.8253,55.7619431034,57.0140354414,0,0.5,241.725179274,70.1642988326,63.5437469927,1
2.1,0.0277235772357,0.0510737671329,-1.04717655219,3.13147122789,11.927545991,2572360.32563,55.7273047403,57.0140354414,0,0.5,241.093523032,65.9522832647,67.7947647737,1
