   [1]radialPos        [2]errFn        [3]errFa 
   0.000000e+00            -Inf             Inf 
   6.363636e-01    6.895367e-02    7.558956e-01 
   1.272727e+00   -2.609326e-01   -6.834380e-02 
   1.909091e+00   -2.689038e-01   -2.536340e-01 
   2.545455e+00   -1.737963e-01   -2.781079e-01 
   3.181818e+00   -1.200046e-01   -2.895325e-01 
   3.818182e+00   -8.898721e-02   -2.912268e-01 
   4.454545e+00   -1.077635e-01   -3.127742e-01 
   5.090909e+00   -1.533695e-01   -3.552356e-01 
   5.727273e+00   -1.922985e-01   -3.919705e-01 
   6.363636e+00   -1.878091e-01   -3.963316e-01 
   7.000000e+00   -1.779758e-01   -3.955447e-01 
   7.636364e+00   -8.044060e-01    3.238519e-01 
   8.272727e+00   -1.697293e+00    1.247261e+00 
   8.909091e+00   -3.280001e+00    1.319050e+00 
   9.545455e+00   -1.309278e+01    1.087414e+00 
   1.018182e+01    8.848287e+00    9.258922e-01 
   1.081818e+01    2.312316e+00    6.420516e-01 
   1.145455e+01    1.025336e+00    4.235491e-01 
   1.209091e+01    5.718297e-01    2.950327e-01 
   1.272727e+01    3.650103e-01    2.151917e-01 
   1.336364e+01    2.189355e-01    1.544781e-01 
   1.400000e+01    1.332564e-01    8.903615e-02 
   1.463636e+01    7.713207e-02    2.855872e-02 
   1.527273e+01   -6.349215e-03   -3.866233e-02 
   1.590909e+01   -4.081854e-02   -6.373980e-02 
   1.654545e+01   -4.459408e-02   -6.437813e-02 
   1.718182e+01   -4.834000e-02   -6.497102e-02 
   1.781818e+01   -5.030865e-02   -6.412203e-02 
   1.845455e+01   -4.970599e-02   -6.133009e-02 
   1.909091e+01   -5.261206e-02   -6.253016e-02 
   1.972727e+01   -6.371536e-02   -7.239759e-02 
   2.036364e+01   -7.482829e-02   -8.221076e-02 
   2.100000e+01   -8.595544e-02   -9.149059e-02 
   2.163636e+01   -9.709683e-02   -1.002794e-01 
   2.227273e+01   -1.089788e-01   -1.101145e-01 
   2.290909e+01   -1.212337e-01   -1.201839e-01 
   2.354545e+01   -1.221947e-01   -1.187470e-01 
   2.418182e+01   -1.185530e-01   -1.133918e-01 
   2.481818e+01   -1.165147e-01   -1.122743e-01 
   2.545455e+01   -1.144873e-01   -1.112226e-01 
   2.609091e+01   -1.124706e-01   -1.102311e-01 
   2.672727e+01   -1.113640e-01   -1.110717e-01 
   2.736364e+01   -1.114614e-01   -1.137954e-01 
   2.800000e+01   -1.149072e-01   -1.194562e-01 
   2.863636e+01   -1.183219e-01   -1.247903e-01 
   2.927273e+01   -1.190998e-01   -1.267897e-01 
   2.990909e+01   -1.194614e-01   -1.282220e-01 
   3.054545e+01   -1.198223e-01   -1.295885e-01 
   3.118182e+01   -1.201967e-01   -1.313216e-01 
   3.181818e+01   -1.168571e-01   -1.305741e-01 
   3.245455e+01   -1.097480e-01   -1.255648e-01 
   3.309091e+01   -1.026555e-01   -1.207913e-01 
   3.372727e+01   -9.577665e-02   -1.174588e-01 
   3.436364e+01   -8.913987e-02   -1.156270e-01 
   3.500000e+01   -8.252456e-02   -1.138853e-01 
   3.563636e+01   -7.593060e-02   -1.122275e-01 
   3.627273e+01   -7.152309e-02   -1.116273e-01 
   3.690909e+01   -6.726823e-02   -1.110617e-01 
   3.754545e+01   -6.302049e-02   -1.105205e-01 
   3.818182e+01   -5.871801e-02   -1.100301e-01 
   3.881818e+01   -5.397309e-02   -1.097574e-01 
   3.945455e+01   -4.923096e-02   -1.094960e-01 
   4.009091e+01   -4.548131e-02   -1.105858e-01 
   4.072727e+01   -4.393161e-02   -1.107260e-01 
   4.136364e+01   -4.227881e-02   -1.071769e-01 
   4.200000e+01   -4.062623e-02   -1.037054e-01 
   4.263636e+01   -3.897389e-02   -1.003088e-01 
   4.327273e+01   -3.818931e-02   -9.745571e-02 
   4.390909e+01   -3.741677e-02   -9.467150e-02 
   4.454545e+01   -3.508392e-02   -9.017048e-02 
   4.518182e+01   -3.135376e-02   -8.729916e-02 
   4.581818e+01   -2.703346e-02   -8.631242e-02 
   4.645455e+01   -2.270984e-02   -8.535502e-02 
   4.709091e+01   -1.832050e-02   -8.441166e-02 
   4.772727e+01   -1.372572e-02   -8.345106e-02 
   4.836364e+01   -9.029347e-03   -8.255397e-02 
   4.900000e+01   -3.445136e-03   -8.198804e-02 
   4.963636e+01    2.505303e-03   -8.117063e-02 
   5.027273e+01    8.468069e-03   -8.037496e-02 
   5.090909e+01    1.445017e-02   -7.959356e-02 
   5.154545e+01    2.069028e-02   -7.860381e-02 
   5.218182e+01    2.694646e-02   -7.763889e-02 
   5.281818e+01    3.427013e-02   -7.723614e-02 
   5.345455e+01    4.216765e-02   -7.675724e-02 
   5.409091e+01    5.009039e-02   -7.628961e-02 
   5.472727e+01    5.824168e-02   -7.561335e-02 
   5.536364e+01    6.662351e-02   -7.473921e-02 
   5.600000e+01    7.126180e-02   -7.753184e-02 
   5.663636e+01    6.726540e-02   -8.598504e-02 
   5.727273e+01    6.323999e-02   -9.434164e-02 
   5.790909e+01    6.003816e-02   -1.011380e-01 
   5.854545e+01    5.702419e-02   -1.075118e-01 
   5.918182e+01    3.607523e-02   -1.146104e-01 
   5.981818e+01   -3.621734e-03   -1.338656e-01 
   6.045455e+01   -2.897975e-02   -1.381064e-01 
   6.109091e+01   -5.027008e-02   -1.390877e-01 
   6.172727e+01   -1.138844e-01   -1.768623e-01 
   6.236364e+01   -1.372283e-01   -1.625844e-01 
   6.300000e+01   -1.110272e-01   -9.472759e-02 
