   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -3.827192e-01   -1.966998e+00    6.242436e+01    6.490982e+01    1.960358e+06    9.795001e+00   -1.889608e+01    7.633851e+01   -1.846072e+01   -4.032795e+00    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -9.183781e-02   -3.300645e+00    5.296492e+01    5.701404e+01    2.233692e+06    1.035720e+01   -3.794178e+01    8.688173e+01   -3.706763e+01   -8.097526e+00    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02    4.183096e-01   -5.638123e+00    3.915297e+01    4.488144e+01    2.794765e+06    1.192461e+01   -8.341893e+01    1.083302e+02   -8.149701e+01   -1.780325e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02    1.037872e+00   -8.476286e+00    2.711775e+01    3.347067e+01    3.696997e+06    1.450061e+01   -1.176076e+02    9.963139e+01   -1.148980e+02   -2.509978e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02    1.766688e+00   -1.181517e+01    1.804092e+01    2.424730e+01    4.939920e+06    1.805643e+01    5.646543e+02    1.060028e+03    5.516450e+02    1.205084e+02    1.633141e+00    7.992844e-02 
   1.470000e+01    3.504121e-02    2.604620e+00   -1.565480e+01    1.225617e+01    1.794455e+01    6.288230e+06    2.250866e+01    7.624426e+02    1.775902e+03    7.448764e+02    1.627203e+02    1.657995e+00    1.913144e-02 
   1.890000e+01    3.168268e-02    3.478914e+00   -1.966050e+01    8.996796e+00    1.408579e+01    7.421713e+06    2.735637e+01    7.660337e+02    2.257066e+03    7.483848e+02    1.634867e+02    1.425539e+00    1.101309e-02 
   2.310000e+01    2.949244e-02    4.353442e+00   -2.366614e+01    6.994389e+00    1.151673e+01    8.323881e+06    3.230452e+01    7.077399e+02    2.538808e+03    6.914340e+02    1.510457e+02    1.190192e+00    8.637361e-03 
   2.730000e+01    2.709969e-02    5.227999e+00   -2.767178e+01    5.918364e+00    9.937847e+00    9.070051e+06    3.730394e+01    7.332595e+02    3.119100e+03    7.163656e+02    1.564920e+02    1.149918e+00    9.631167e-03 
   3.150000e+01    2.438434e-02    6.102583e+00   -3.167742e+01    5.444835e+00    9.032682e+00    9.641267e+06    4.233331e+01    7.387033e+02    3.619378e+03    7.216840e+02    1.576539e+02    1.099010e+00    8.989128e-03 
   3.570000e+01    2.135690e-02    6.977215e+00   -3.568304e+01    5.340712e+00    8.547204e+00    1.007472e+07    4.738702e+01    7.870399e+02    4.366129e+03    7.689070e+02    1.679699e+02    1.128416e+00    9.469899e-03 
   3.990000e+01    1.801684e-02    7.851905e+00   -3.968865e+01    5.468534e+00    8.343065e+00    1.037070e+07    5.245867e+01    8.174955e+02    5.053617e+03    7.986609e+02    1.744697e+02    1.142634e+00    9.572813e-03 
   4.410000e+01    1.471964e-02    8.726679e+00   -4.369424e+01    5.686178e+00    8.250392e+00    1.051668e+07    5.754476e+01    8.263086e+02    5.560513e+03    8.072709e+02    1.763506e+02    1.127974e+00    7.956966e-03 
   4.830000e+01    1.171234e-02    9.601533e+00   -4.769982e+01    5.917144e+00    8.165291e+00    1.051269e+07    6.264269e+01    8.484020e+02    6.175861e+03    8.288553e+02    1.810657e+02    1.149472e+00    8.236799e-03 
   5.232585e+01    8.605049e-03    1.044016e+01   -5.153930e+01    6.250608e+00    8.155457e+00    1.037637e+07    6.753813e+01    8.752117e+02    6.749421e+03    8.550473e+02    1.867874e+02    1.179282e+00    8.636604e-03 
   5.582671e+01    5.371978e-03    1.116944e+01   -5.487808e+01    6.678785e+00    8.239181e+00    1.010958e+07    7.179952e+01    9.038673e+02    7.216810e+03    8.830428e+02    1.929031e+02    1.216731e+00    9.158083e-03 
   5.880000e+01    2.968543e-03    1.178886e+01   -5.771371e+01    7.021051e+00    8.261843e+00    9.245637e+06    7.542050e+01    8.715041e+02    7.094184e+03    8.514251e+02    1.859962e+02    1.244664e+00    9.629078e-03 
   6.124829e+01    1.772336e-03    1.229893e+01   -6.004865e+01    7.205269e+00    8.179789e+00    6.931595e+06    7.840269e+01    6.747935e+02    5.560774e+03    6.592466e+02    1.440142e+02    1.251607e+00    1.005457e-02 
   6.264915e+01    7.038778e-04    1.259078e+01   -6.138464e+01    7.303558e+00    8.130277e+00    4.359095e+06    8.010927e+01    4.296987e+02    3.566277e+03    4.197987e+02    9.170618e+01    1.249071e+00    1.039425e-02 
