   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -1.724331e+00    1.020901e+00    6.080277e+01    6.490982e+01    1.974146e+06    9.863893e+00   -2.141095e+01    7.683092e+01    2.718576e+00    2.123765e+01    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -3.078226e+00    1.194660e+00    5.147807e+01    5.701404e+01    2.257144e+06    1.046595e+01   -4.107599e+01    8.767039e+01    5.215472e+00    4.074353e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02   -5.451303e+00    1.498905e+00    3.798516e+01    4.488144e+01    2.833651e+06    1.209053e+01   -8.803881e+01    1.095881e+02    1.117840e+01    8.732626e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02   -8.332736e+00    1.868186e+00    2.627567e+01    3.347067e+01    3.749124e+06    1.470506e+01   -1.224564e+02    1.006694e+02    1.554845e+01    1.214653e+02    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02   -1.172251e+01    2.302664e+00    1.747018e+01    2.424730e+01    5.003076e+06    1.828728e+01    5.695539e+02    1.086820e+03   -7.231701e+01   -5.649442e+02    1.626857e+00    7.431075e-02 
   1.470000e+01    3.504121e-02   -1.562059e+01    2.802482e+00    1.187127e+01    1.794455e+01    6.356628e+06    2.275349e+01    7.585663e+02    1.796053e+03   -9.631615e+01   -7.524268e+02    1.636811e+00    1.753456e-02 
   1.890000e+01    3.168268e-02   -1.968731e+01    3.323802e+00    8.717712e+00    1.408579e+01    7.489468e+06    2.760611e+01    7.549559e+02    2.260390e+03   -9.585774e+01   -7.488456e+02    1.399638e+00    1.077628e-02 
   2.310000e+01    2.949244e-02   -2.375407e+01    3.844884e+00    6.774553e+00    1.151673e+01    8.389549e+06    3.255937e+01    6.930760e+02    2.524270e+03   -8.800076e+01   -6.874665e+02    1.163665e+00    8.520601e-03 
   2.730000e+01    2.709969e-02   -2.782082e+01    4.365938e+00    5.731149e+00    9.937847e+00    9.133693e+06    3.756570e+01    7.207246e+02    3.110194e+03   -9.151134e+01   -7.148914e+02    1.129872e+00    9.366493e-03 
   3.150000e+01    2.438434e-02   -3.188758e+01    4.886964e+00    5.288269e+00    9.032682e+00    9.703089e+06    4.260476e+01    7.269538e+02    3.611116e+03   -9.230227e+01   -7.210701e+02    1.081986e+00    8.788201e-03 
   3.570000e+01    2.135690e-02   -3.595435e+01    5.407941e+00    5.214185e+00    8.547204e+00    1.013421e+07    4.766685e+01    7.771061e+02    4.366080e+03   -9.867017e+01   -7.708165e+02    1.114753e+00    9.347965e-03 
   3.990000e+01    1.801684e-02   -4.002112e+01    5.928859e+00    5.392294e+00    8.343065e+00    1.042756e+07    5.274627e+01    8.138054e+02    5.073508e+03   -1.033299e+02   -8.072188e+02    1.134414e+00    9.499410e-03 
   4.410000e+01    1.471964e-02   -4.408790e+01    6.449693e+00    5.664329e+00    8.250392e+00    1.057053e+07    5.783942e+01    8.312163e+02    5.607838e+03   -1.055406e+02   -8.244888e+02    1.125951e+00    7.930512e-03 
   4.830000e+01    1.171234e-02   -4.815470e+01    6.970444e+00    5.945803e+00    8.165291e+00    1.056313e+07    6.294330e+01    8.616251e+02    6.249510e+03   -1.094017e+02   -8.546515e+02    1.152173e+00    8.270464e-03 
   5.232585e+01    8.605049e-03   -5.205288e+01    7.469560e+00    6.300781e+00    8.155457e+00    1.042322e+07    6.784304e+01    8.923485e+02    6.835739e+03   -1.133026e+02   -8.851261e+02    1.183783e+00    8.693992e-03 
   5.582671e+01    5.371978e-03   -5.544271e+01    7.903559e+00    6.710213e+00    8.239181e+00    1.015304e+07    7.210814e+01    9.177120e+02    7.295551e+03   -1.165231e+02   -9.102844e+02    1.219582e+00    9.192996e-03 
   5.880000e+01    2.968543e-03   -5.832171e+01    8.272124e+00    7.004830e+00    8.261843e+00    9.283933e+06    7.573289e+01    8.759722e+02    7.146742e+03   -1.112233e+02   -8.688824e+02    1.243521e+00    9.608863e-03 
   6.124829e+01    1.772336e-03   -6.069237e+01    8.575594e+00    7.137154e+00    8.179789e+00    6.959580e+06    7.871922e+01    6.714025e+02    5.586515e+03   -8.524885e+01   -6.659684e+02    1.247136e+00    9.969181e-03 
   6.264915e+01    7.038778e-04   -6.204880e+01    8.749229e+00    7.202183e+00    8.130277e+00    4.376462e+06    8.042843e+01    4.252945e+02    3.580115e+03   -5.400020e+01   -4.218524e+02    1.243738e+00    1.022849e-02 
