   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02    1.370134e+00    1.462289e+00    6.220440e+01    6.490982e+01    1.956017e+06    9.773310e+00   -1.910757e+01    7.592520e+01    1.797758e+01   -6.473451e+00    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02    1.833002e+00    2.746415e+00    5.272247e+01    5.701404e+01    2.230179e+06    1.034091e+01   -3.819121e+01    8.644516e+01    3.593266e+01   -1.293880e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02    2.644000e+00    4.997268e+00    3.888556e+01    4.488144e+01    2.790777e+06    1.190759e+01   -8.368550e+01    1.076290e+02    7.873651e+01   -2.835181e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02    3.628591e+00    7.730326e+00    2.685961e+01    3.347067e+01    3.693097e+06    1.448531e+01   -1.178068e+02    9.888970e+01    1.108400e+02   -3.991176e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02    4.786931e+00    1.094553e+01    1.784598e+01    2.424730e+01    4.937482e+06    1.804752e+01    5.607526e+02    1.058619e+03   -5.275908e+02    1.899773e+02    1.630655e+00    7.802920e-02 
   1.470000e+01    3.504121e-02    6.119154e+00    1.464284e+01    1.211270e+01    1.794455e+01    6.286099e+06    2.250104e+01    7.547337e+02    1.768473e+03   -7.101003e+02    2.556962e+02    1.650659e+00    1.847389e-02 
   1.890000e+01    3.168268e-02    7.508892e+00    1.850012e+01    8.888312e+00    1.408579e+01    7.420804e+06    2.735302e+01    7.560680e+02    2.241614e+03   -7.113556e+02    2.561482e+02    1.415221e+00    1.092649e-02 
   2.310000e+01    2.949244e-02    8.898405e+00    2.235749e+01    6.908804e+00    1.151673e+01    8.325130e+06    3.230937e+01    6.979956e+02    2.518624e+03   -6.567176e+02    2.364739e+02    1.179877e+00    8.589854e-03 
   2.730000e+01    2.709969e-02    1.028789e+01    2.621486e+01    5.845243e+00    9.937847e+00    9.074264e+06    3.732127e+01    7.250822e+02    3.101626e+03   -6.822023e+02    2.456506e+02    1.142082e+00    9.527769e-03 
   3.150000e+01    2.438434e-02    1.167735e+01    3.007224e+01    5.400401e+00    9.032682e+00    9.649154e+06    4.236794e+01    7.339253e+02    3.609949e+03   -6.905225e+02    2.486465e+02    1.094186e+00    8.931230e-03 
   3.570000e+01    2.135690e-02    1.306676e+01    3.392964e+01    5.322414e+00    8.547204e+00    1.008555e+07    4.743796e+01    7.859635e+02    4.368122e+03   -7.394833e+02    2.662765e+02    1.126443e+00    9.452086e-03 
   3.990000e+01    1.801684e-02    1.445612e+01    3.778706e+01    5.490984e+00    8.343065e+00    1.038406e+07    5.252624e+01    8.233573e+02    5.077212e+03   -7.746656e+02    2.789452e+02    1.145091e+00    9.592691e-03 
   4.410000e+01    1.471964e-02    1.584540e+01    4.164451e+01    5.764039e+00    8.250392e+00    1.053204e+07    5.762881e+01    8.414685e+02    5.611527e+03   -7.917058e+02    2.850811e+02    1.135228e+00    8.051163e-03 
   4.830000e+01    1.171234e-02    1.723460e+01    4.550199e+01    6.044401e+00    8.165291e+00    1.052927e+07    6.274151e+01    8.732514e+02    6.256381e+03   -8.216091e+02    2.958488e+02    1.161141e+00    8.388874e-03 
   5.232585e+01    8.605049e-03    1.856615e+01    4.919953e+01    6.379495e+00    8.155457e+00    1.039342e+07    6.764909e+01    9.015996e+02    6.835349e+03   -8.482808e+02    3.054529e+02    1.190722e+00    8.788093e-03 
   5.582671e+01    5.371978e-03    1.972404e+01    5.241490e+01    6.772869e+00    8.239181e+00    1.012668e+07    7.192095e+01    9.248180e+02    7.289338e+03   -8.701262e+02    3.133190e+02    1.225059e+00    9.269380e-03 
   5.880000e+01    2.968543e-03    2.070741e+01    5.514575e+01    7.051487e+00    8.261843e+00    9.261707e+06    7.555159e+01    8.799027e+02    7.131864e+03   -8.278671e+02    2.981022e+02    1.247017e+00    9.660383e-03 
   6.124829e+01    1.772336e-03    2.151712e+01    5.739440e+01    7.160086e+00    8.179789e+00    6.943943e+06    7.854235e+01    6.713380e+02    5.567823e+03   -6.316365e+02    2.274426e+02    1.248625e+00    9.998607e-03 
   6.264915e+01    7.038778e-04    2.198042e+01    5.868103e+01    7.215312e+00    8.130277e+00    4.366984e+06    8.025426e+01    4.244535e+02    3.566454e+03   -3.993522e+02    1.438006e+02    1.244408e+00    1.025023e-02 
