   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -8.961600e-01    1.792332e+00    6.092716e+01    6.490982e+01    1.967084e+06    9.828608e+00   -2.108245e+01    7.632782e+01    1.358020e+01    1.612599e+01    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -1.939963e+00    2.671935e+00    5.158836e+01    5.701404e+01    2.249865e+06    1.043220e+01   -4.063708e+01    8.718413e+01    2.617627e+01    3.108336e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02   -3.769686e+00    4.213417e+00    3.805009e+01    4.488144e+01    2.823093e+06    1.204548e+01   -8.725542e+01    1.088715e+02    5.620535e+01    6.674179e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02   -5.991446e+00    6.084996e+00    2.631453e+01    3.347067e+01    3.735932e+06    1.465332e+01   -1.215252e+02    1.000442e+02    7.828016e+01    9.295480e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02   -8.605137e+00    8.286797e+00    1.748778e+01    2.424730e+01    4.987160e+06    1.822910e+01    5.660364e+02    1.079650e+03   -3.646109e+02   -4.329620e+02    1.626595e+00    7.452240e-02 
   1.470000e+01    3.504121e-02   -1.161067e+01    1.081893e+01    1.188344e+01    1.794455e+01    6.338422e+06    2.268832e+01    7.549070e+02    1.786425e+03   -4.862714e+02   -5.774294e+02    1.637537e+00    1.757624e-02 
   1.890000e+01    3.168268e-02   -1.474628e+01    1.346050e+01    8.729235e+00    1.408579e+01    7.470781e+06    2.753724e+01    7.521355e+02    2.250465e+03   -4.844861e+02   -5.753094e+02    1.400564e+00    1.078923e-02 
   2.310000e+01    2.949244e-02   -1.788205e+01    1.610189e+01    6.783760e+00    1.151673e+01    8.371005e+06    3.248741e+01    6.910938e+02    2.515425e+03   -4.451663e+02   -5.286186e+02    1.164784e+00    8.524216e-03 
   2.730000e+01    2.709969e-02   -2.101784e+01    1.874326e+01    5.746214e+00    9.937847e+00    9.115860e+06    3.749235e+01    7.197307e+02    3.102290e+03   -4.636127e+02   -5.505230e+02    1.131482e+00    9.387708e-03 
   3.150000e+01    2.438434e-02   -2.415365e+01    2.138461e+01    5.311299e+00    9.032682e+00    9.686362e+06    4.253132e+01    7.275534e+02    3.606742e+03   -4.686517e+02   -5.565066e+02    1.084497e+00    8.817005e-03 
   3.570000e+01    2.135690e-02   -2.728949e+01    2.402592e+01    5.241808e+00    8.547204e+00    1.011877e+07    4.759423e+01    7.789104e+02    4.364053e+03   -5.017331e+02   -5.957896e+02    1.117734e+00    9.374594e-03 
   3.990000e+01    1.801684e-02   -3.042537e+01    2.666718e+01    5.419164e+00    8.343065e+00    1.041352e+07    5.267527e+01    8.160689e+02    5.072434e+03   -5.256687e+02   -6.242122e+02    1.137319e+00    9.524868e-03 
   4.410000e+01    1.471964e-02   -3.356130e+01    2.930838e+01    5.692963e+00    8.250392e+00    1.055789e+07    5.777025e+01    8.339167e+02    5.607271e+03   -5.371653e+02   -6.378640e+02    1.128616e+00    7.965104e-03 
   4.830000e+01    1.171234e-02   -3.669728e+01    3.194951e+01    5.974633e+00    8.165291e+00    1.055180e+07    6.287576e+01    8.648353e+02    6.250177e+03   -5.570815e+02   -6.615137e+02    1.154851e+00    8.305546e-03 
   5.232585e+01    8.605049e-03   -3.970327e+01    3.448110e+01    6.323133e+00    8.155457e+00    1.041303e+07    6.777671e+01    8.946813e+02    6.833388e+03   -5.763067e+02   -6.843430e+02    1.185752e+00    8.720761e-03 
   5.582671e+01    5.371978e-03   -4.231727e+01    3.668254e+01    6.726800e+00    8.239181e+00    1.014388e+07    7.204311e+01    9.191987e+02    7.290777e+03   -5.920995e+02   -7.030963e+02    1.221028e+00    9.213335e-03 
   5.880000e+01    2.968543e-03   -4.453738e+01    3.855220e+01    7.009165e+00    8.261843e+00    9.276064e+06    7.566870e+01    8.752312e+02    7.136356e+03   -5.637779e+02   -6.694655e+02    1.243832e+00    9.614085e-03 
   6.124829e+01    1.772336e-03   -4.636549e+01    4.009172e+01    7.131456e+00    8.179789e+00    6.953969e+06    7.865576e+01    6.695667e+02    5.575804e+03   -4.312997e+02   -5.121524e+02    1.246739e+00    9.962956e-03 
   6.264915e+01    7.038778e-04   -4.741149e+01    4.097259e+01    7.190481e+00    8.130277e+00    4.373045e+06    8.036565e+01    4.237244e+02    3.572791e+03   -2.729410e+02   -3.241073e+02    1.243105e+00    1.020961e-02 
