   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -1.638521e+00   -1.153605e+00    6.143354e+01    6.490982e+01    1.962348e+06    9.804945e+00   -2.028889e+01    7.614642e+01   -1.729559e+01    1.060669e+01    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -2.352501e+00   -2.316987e+00    5.200897e+01    5.701404e+01    2.241372e+06    1.039282e+01   -3.968120e+01    8.682324e+01   -3.382686e+01    2.074466e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02   -3.603660e+00   -4.356266e+00    3.833384e+01    4.488144e+01    2.812462e+06    1.200012e+01   -8.605556e+01    1.084820e+02   -7.335942e+01    4.498839e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02   -5.122713e+00   -6.832453e+00    2.648470e+01    3.347067e+01    3.726226e+06    1.461525e+01   -1.205954e+02    9.988423e+01   -1.028035e+02    6.304525e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02   -6.909800e+00   -9.745463e+00    1.754560e+01    2.424730e+01    4.978477e+06    1.819736e+01    5.650264e+02    1.075938e+03    4.816657e+02   -2.953862e+02    1.627220e+00    7.509086e-02 
   1.470000e+01    3.504121e-02   -8.965043e+00   -1.309522e+01    1.187693e+01    1.794455e+01    6.335854e+06    2.267913e+01    7.539116e+02    1.784587e+03    6.426839e+02   -3.941322e+02    1.637107e+00    1.755580e-02 
   1.890000e+01    3.168268e-02   -1.110909e+01   -1.658994e+01    8.675564e+00    1.408579e+01    7.473491e+06    2.754722e+01    7.478503e+02    2.244618e+03    6.375168e+02   -3.909635e+02    1.395477e+00    1.074575e-02 
   2.310000e+01    2.949244e-02   -1.325293e+01   -2.008479e+01    6.703237e+00    1.151673e+01    8.377853e+06    3.251398e+01    6.828914e+02    2.499544e+03    5.821416e+02   -3.570041e+02    1.155086e+00    8.479227e-03 
   2.730000e+01    2.709969e-02   -1.539674e+01   -2.357965e+01    5.645205e+00    9.937847e+00    9.125922e+06    3.753374e+01    7.091218e+02    3.080585e+03    6.045021e+02   -3.707169e+02    1.120645e+00    9.245940e-03 
   3.150000e+01    2.438434e-02   -1.754053e+01   -2.707452e+01    5.180836e+00    9.032682e+00    9.697881e+06    4.258189e+01    7.118016e+02    3.569656e+03    6.067865e+02   -3.721178e+02    1.070320e+00    8.647841e-03 
   3.570000e+01    2.135690e-02   -1.968428e+01   -3.056943e+01    5.080028e+00    8.547204e+00    1.013158e+07    4.765447e+01    7.564853e+02    4.308601e+03    6.448778e+02   -3.954777e+02    1.100195e+00    9.221948e-03 
   3.990000e+01    1.801684e-02   -2.182798e+01   -3.406436e+01    5.219029e+00    8.343065e+00    1.042736e+07    5.274528e+01    7.851736e+02    4.991468e+03    6.693336e+02   -4.104755e+02    1.115576e+00    9.340373e-03 
   4.410000e+01    1.471964e-02   -2.397161e+01   -3.755934e+01    5.456301e+00    8.250392e+00    1.057271e+07    5.785134e+01    7.977869e+02    5.516414e+03    6.800860e+02   -4.170695e+02    1.106567e+00    7.679412e-03 
   4.830000e+01    1.171234e-02   -2.611517e+01   -4.105436e+01    5.718400e+00    8.165291e+00    1.056771e+07    6.297055e+01    8.228014e+02    6.143131e+03    7.014100e+02   -4.301466e+02    1.130988e+00    7.995797e-03 
   5.232585e+01    8.605049e-03   -2.816981e+01   -4.440448e+01    6.076585e+00    8.155457e+00    1.042986e+07    6.788629e+01    8.528317e+02    6.732864e+03    7.270099e+02   -4.458460e+02    1.163913e+00    8.429510e-03 
   5.582671e+01    5.371978e-03   -2.995648e+01   -4.731775e+01    6.522731e+00    8.239181e+00    1.016134e+07    7.216713e+01    8.837555e+02    7.211299e+03    7.533713e+02   -4.620124e+02    1.203052e+00    8.969027e-03 
   5.880000e+01    2.968543e-03   -3.147388e+01   -4.979201e+01    6.870761e+00    8.261843e+00    9.292935e+06    7.580632e+01    8.533338e+02    7.095896e+03    7.274379e+02   -4.461085e+02    1.231942e+00    9.443374e-03 
   6.124829e+01    1.772336e-03   -3.272334e+01   -5.182940e+01    7.050049e+00    8.179789e+00    6.967145e+06    7.880479e+01    6.615218e+02    5.573573e+03    5.639247e+02   -3.458324e+02    1.241328e+00    9.863508e-03 
   6.264915e+01    7.038778e-04   -3.343825e+01   -5.299515e+01    7.149943e+00    8.130277e+00    4.381524e+06    8.052147e+01    4.222453e+02    3.580784e+03    3.599497e+02   -2.207427e+02    1.240971e+00    1.014346e-02 
