   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -1.826714e+00    8.238147e-01    6.072327e+01    6.490982e+01    1.969419e+06    9.840277e+00   -2.141294e+01    7.643219e+01    3.517305e-01    2.141005e+01    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -3.191523e+00    8.466831e-01    5.138270e+01    5.701404e+01    2.252468e+06    1.044426e+01   -4.105004e+01    8.723776e+01    6.742908e-01    4.104450e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02   -5.583692e+00    8.864525e-01    3.788134e+01    4.488144e+01    2.829754e+06    1.207390e+01   -8.799416e+01    1.091263e+02    1.445398e+00    8.798229e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02   -8.488293e+00    9.346023e-01    2.617986e+01    3.347067e+01    3.746473e+06    1.469466e+01   -1.224511e+02    1.003217e+02    2.011391e+00    1.224346e+02    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02   -1.190532e+01    9.912967e-01    1.738487e+01    2.424730e+01    5.001387e+06    1.828110e+01    5.675338e+02    1.085715e+03   -9.322351e+00   -5.674572e+02    1.625448e+00    7.351368e-02 
   1.470000e+01    3.504121e-02   -1.583478e+01    1.056678e+00    1.179732e+01    1.794455e+01    6.355513e+06    2.274950e+01    7.539688e+02    1.791054e+03   -1.238475e+01   -7.538671e+02    1.632019e+00    1.729811e-02 
   1.890000e+01    3.168268e-02   -1.993421e+01    1.124769e+00    8.654645e+00    1.408579e+01    7.489315e+06    2.760555e+01    7.492096e+02    2.251414e+03   -1.230657e+01   -7.491086e+02    1.393625e+00    1.072585e-02 
   2.310000e+01    2.949244e-02   -2.403365e+01    1.192620e+00    6.714153e+00    1.151673e+01    8.389964e+06    3.256099e+01    6.861269e+02    2.509485e+03   -1.127037e+01   -6.860343e+02    1.156395e+00    8.486315e-03 
   2.730000e+01    2.709969e-02   -2.813309e+01    1.260442e+00    5.676846e+00    9.937847e+00    9.134565e+06    3.756928e+01    7.142850e+02    3.095399e+03   -1.173290e+01   -7.141886e+02    1.124043e+00    9.290387e-03 
   3.150000e+01    2.438434e-02   -3.223253e+01    1.328236e+00    5.235036e+00    9.032682e+00    9.704162e+06    4.260947e+01    7.199627e+02    3.593262e+03   -1.182616e+01   -7.198655e+02    1.076203e+00    8.718983e-03 
   3.570000e+01    2.135690e-02   -3.633197e+01    1.395981e+00    5.164528e+00    8.547204e+00    1.013534e+07    4.767217e+01    7.697616e+02    4.346619e+03   -1.264416e+01   -7.696578e+02    1.109367e+00    9.301248e-03 
   3.990000e+01    1.801684e-02   -4.043141e+01    1.463666e+00    5.339400e+00    8.343065e+00    1.042879e+07    5.275252e+01    8.052127e+02    5.049737e+03   -1.322648e+01   -8.051040e+02    1.128665e+00    9.450795e-03 
   4.410000e+01    1.471964e-02   -4.453086e+01    1.531266e+00    5.609492e+00    8.250392e+00    1.057185e+07    5.784663e+01    8.224555e+02    5.584548e+03   -1.350971e+01   -8.223446e+02    1.120842e+00    7.864317e-03 
   4.830000e+01    1.171234e-02   -4.863030e+01    1.598784e+00    5.890461e+00    8.165291e+00    1.056449e+07    6.295140e+01    8.521403e+02    6.223951e+03   -1.399732e+01   -8.520253e+02    1.147018e+00    8.203602e-03 
   5.232585e+01    8.605049e-03   -5.255977e+01    1.663458e+00    6.247576e+00    8.155457e+00    1.042458e+07    6.785193e+01    8.828641e+02    6.811095e+03   -1.450199e+01   -8.827450e+02    1.179068e+00    8.631221e-03 
   5.582671e+01    5.371978e-03   -5.597680e+01    1.719669e+00    6.662876e+00    8.239181e+00    1.015440e+07    7.211780e+01    9.089561e+02    7.273261e+03   -1.493058e+01   -9.088334e+02    1.215408e+00    9.136474e-03 
   5.880000e+01    2.968543e-03   -5.887891e+01    1.767377e+00    6.964685e+00    8.261843e+00    9.285221e+06    7.574340e+01    8.689289e+02    7.129582e+03   -1.427309e+01   -8.688117e+02    1.240087e+00    9.559969e-03 
   6.124829e+01    1.772336e-03   -6.126859e+01    1.806643e+00    7.097834e+00    8.179789e+00    6.960569e+06    7.873041e+01    6.664697e+02    5.576775e+03   -1.094748e+01   -6.663797e+02    1.244509e+00    9.921729e-03 
   6.264915e+01    7.038778e-04   -6.263591e+01    1.829108e+00    7.172972e+00    8.130277e+00    4.377092e+06    8.044001e+01    4.231620e+02    3.576878e+03   -6.950889e+00   -4.231049e+02    1.242185e+00    1.018101e-02 
