   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02    1.474393e+00    1.357100e+00    6.231054e+01    6.490982e+01    1.958938e+06    9.787906e+00   -1.902267e+01    7.618905e+01    1.737283e+01   -7.748979e+00    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02    2.030841e+00    2.603531e+00    5.282879e+01    5.701404e+01    2.232201e+06    1.035029e+01   -3.809894e+01    8.667410e+01    3.479462e+01   -1.551979e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02    3.005867e+00    4.788338e+00    3.898168e+01    4.488144e+01    2.791788e+06    1.191191e+01   -8.356471e+01    1.078483e+02    7.631714e+01   -3.404050e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02    4.189628e+00    7.441211e+00    2.694005e+01    3.347067e+01    3.693384e+06    1.448644e+01   -1.176858e+02    9.907090e+01    1.074789e+02   -4.793988e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02    5.582273e+00    1.056208e+01    1.790479e+01    2.424730e+01    4.937254e+06    1.804668e+01    5.617917e+02    1.058742e+03   -5.130675e+02    2.288486e+02    1.631592e+00    7.858193e-02 
   1.470000e+01    3.504121e-02    7.183933e+00    1.415090e+01    1.215725e+01    1.794455e+01    6.285165e+06    2.249769e+01    7.567353e+02    1.769876e+03   -6.911036e+02    3.082599e+02    1.652931e+00    1.867832e-02 
   1.890000e+01    3.168268e-02    8.854768e+00    1.789500e+01    8.926203e+00    1.408579e+01    7.420397e+06    2.735152e+01    7.593889e+02    2.246563e+03   -6.935271e+02    3.093408e+02    1.418818e+00    1.095688e-02 
   2.310000e+01    2.949244e-02    1.052538e+01    2.163920e+01    6.936606e+00    1.151673e+01    8.324002e+06    3.230499e+01    7.010335e+02    2.524748e+03   -6.402328e+02    2.855695e+02    1.183229e+00    8.605209e-03 
   2.730000e+01    2.709969e-02    1.219597e+01    2.538342e+01    5.874129e+00    9.937847e+00    9.073464e+06    3.731798e+01    7.284476e+02    3.109130e+03   -6.652693e+02    2.967367e+02    1.145178e+00    9.568579e-03 
   3.150000e+01    2.438434e-02    1.386654e+01    2.912764e+01    5.419978e+00    9.032682e+00    9.648178e+06    4.236365e+01    7.364104e+02    3.615981e+03   -6.725414e+02    2.999804e+02    1.096311e+00    8.956853e-03 
   3.570000e+01    2.135690e-02    1.553706e+01    3.287188e+01    5.342289e+00    8.547204e+00    1.008475e+07    4.743420e+01    7.888577e+02    4.375512e+03   -7.204400e+02    3.213451e+02    1.128598e+00    9.470880e-03 
   3.990000e+01    1.801684e-02    1.720752e+01    3.661615e+01    5.512433e+00    8.343065e+00    1.038327e+07    5.252224e+01    8.268103e+02    5.086460e+03   -7.551010e+02    3.368053e+02    1.147421e+00    9.612500e-03 
   4.410000e+01    1.471964e-02    1.887791e+01    4.036046e+01    5.775116e+00    8.250392e+00    1.053123e+07    5.762435e+01    8.431580e+02    5.615595e+03   -7.700308e+02    3.434646e+02    1.136259e+00    8.064574e-03 
   4.830000e+01    1.171234e-02    2.054822e+01    4.410479e+01    6.054039e+00    8.165291e+00    1.052851e+07    6.273696e+01    8.747934e+02    6.259939e+03   -7.989225e+02    3.563514e+02    1.161996e+00    8.400207e-03 
   5.232585e+01    8.605049e-03    2.214923e+01    4.769390e+01    6.390534e+00    8.155457e+00    1.039275e+07    6.764474e+01    9.035081e+02    6.839911e+03   -8.251468e+02    3.680485e+02    1.191699e+00    8.801153e-03 
   5.582671e+01    5.371978e-03    2.354144e+01    5.081497e+01    6.787917e+00    8.239181e+00    1.012611e+07    7.191690e+01    9.275839e+02    7.296169e+03   -8.471345e+02    3.778559e+02    1.226385e+00    9.287380e-03 
   5.880000e+01    2.968543e-03    2.472381e+01    5.346572e+01    7.058275e+00    8.261843e+00    9.261168e+06    7.554719e+01    8.809898e+02    7.133875e+03   -8.045815e+02    3.588755e+02    1.247531e+00    9.667677e-03 
   6.124829e+01    1.772336e-03    2.569740e+01    5.564843e+01    7.170736e+00    8.179789e+00    6.943577e+06    7.853822e+01    6.726528e+02    5.570284e+03   -6.143135e+02    2.740084e+02    1.249336e+00    1.001149e-02 
   6.264915e+01    7.038778e-04    2.625446e+01    5.689733e+01    7.230366e+00    8.130277e+00    4.366761e+06    8.025016e+01    4.255692e+02    3.568276e+03   -3.886596e+02    1.733577e+02    1.245207e+00    1.027472e-02 
