   [1]radialPos        [2]errFn        [3]errFa 
   0.000000e+00            -Inf             Inf 
   6.363636e-01    1.936237e-02    7.565132e-01 
   1.272727e+00   -2.882685e-01   -6.919134e-02 
   1.909091e+00   -2.917712e-01   -2.550630e-01 
   2.545455e+00   -1.961317e-01   -2.798987e-01 
   3.181818e+00   -1.414296e-01   -2.916519e-01 
   3.818182e+00   -1.094784e-01   -2.936595e-01 
   4.454545e+00   -1.265496e-01   -3.153577e-01 
   5.090909e+00   -1.701084e-01   -3.577925e-01 
   5.727273e+00   -2.073815e-01   -3.945117e-01 
   6.363636e+00   -2.022057e-01   -3.989884e-01 
   7.000000e+00   -1.918662e-01   -3.983438e-01 
   7.636364e+00   -8.130689e-01    3.112462e-01 
   8.272727e+00   -1.698641e+00    1.222166e+00 
   8.909091e+00   -3.271298e+00    1.291654e+00 
   9.545455e+00   -1.302713e+01    1.062032e+00 
   1.018182e+01    8.787348e+00    9.020597e-01 
   1.081818e+01    2.291957e+00    6.222260e-01 
   1.145455e+01    1.016237e+00    4.086924e-01 
   1.209091e+01    5.671129e-01    2.832722e-01 
   1.272727e+01    3.627602e-01    2.055417e-01 
   1.336364e+01    2.184277e-01    1.464331e-01 
   1.400000e+01    1.340610e-01    8.236126e-02 
   1.463636e+01    7.901081e-02    2.300722e-02 
   1.527273e+01   -3.537784e-03   -4.285138e-02 
   1.590909e+01   -3.705337e-02   -6.688090e-02 
   1.654545e+01   -3.979662e-02   -6.664710e-02 
   1.718182e+01   -4.251835e-02   -6.642994e-02 
   1.781818e+01   -4.345820e-02   -6.482768e-02 
   1.845455e+01   -4.180969e-02   -6.133049e-02 
   1.909091e+01   -4.381708e-02   -6.183497e-02 
   1.972727e+01   -5.436727e-02   -7.097536e-02 
   2.036364e+01   -6.492634e-02   -8.010247e-02 
   2.100000e+01   -7.549892e-02   -8.873353e-02 
   2.163636e+01   -8.608504e-02   -9.690790e-02 
   2.227273e+01   -9.742042e-02   -1.061668e-01 
   2.290909e+01   -1.091342e-01   -1.156947e-01 
   2.354545e+01   -1.097989e-01   -1.140451e-01 
   2.418182e+01   -1.059691e-01   -1.086167e-01 
   2.481818e+01   -1.037662e-01   -1.074511e-01 
   2.545455e+01   -1.015750e-01   -1.063542e-01 
   2.609091e+01   -9.939537e-02   -1.053201e-01 
   2.672727e+01   -9.814008e-02   -1.061303e-01 
   2.736364e+01   -9.806512e-02   -1.088028e-01 
   2.800000e+01   -1.010075e-01   -1.141405e-01 
   2.863636e+01   -1.039233e-01   -1.191701e-01 
   2.927273e+01   -1.041626e-01   -1.208616e-01 
   2.990909e+01   -1.039801e-01   -1.219974e-01 
   3.054545e+01   -1.037979e-01   -1.230810e-01 
   3.118182e+01   -1.036307e-01   -1.245472e-01 
   3.181818e+01   -9.962429e-02   -1.235205e-01 
   3.245455e+01   -9.172248e-02   -1.182059e-01 
   3.309091e+01   -8.383901e-02   -1.131414e-01 
   3.372727e+01   -7.617533e-02   -1.095422e-01 
   3.436364e+01   -6.876088e-02   -1.074687e-01 
   3.500000e+01   -6.137040e-02   -1.054974e-01 
   3.563636e+01   -5.400377e-02   -1.036208e-01 
   3.627273e+01   -4.841695e-02   -1.025604e-01 
   3.690909e+01   -4.293711e-02   -1.015265e-01 
   3.754545e+01   -3.746645e-02   -1.005374e-01 
   3.818182e+01   -3.194132e-02   -9.961832e-02 
   3.881818e+01   -2.596234e-02   -9.893725e-02 
   3.945455e+01   -1.998688e-02   -9.828419e-02 
   4.009091e+01   -1.514555e-02   -9.909231e-02 
   4.072727e+01   -1.282994e-02   -9.912540e-02 
   4.136364e+01   -1.040804e-02   -9.542391e-02 
   4.200000e+01   -7.986479e-03   -9.180328e-02 
   4.263636e+01   -5.565262e-03   -8.826090e-02 
   4.327273e+01   -4.042712e-03   -8.527142e-02 
   4.390909e+01   -2.534023e-03   -8.235394e-02 
   4.454545e+01    8.052206e-04   -7.754539e-02 
   4.518182e+01    5.684157e-03   -7.433059e-02 
   4.581818e+01    1.117595e-02   -7.303567e-02 
   4.645455e+01    1.667199e-02   -7.177927e-02 
   4.709091e+01    2.223721e-02   -7.054544e-02 
   4.772727e+01    2.801746e-02   -6.930208e-02 
   4.836364e+01    3.383632e-02   -6.816230e-02 
   4.900000e+01    3.996406e-02   -6.764474e-02 
   4.963636e+01    4.647449e-02   -6.687022e-02 
   5.027273e+01    5.299841e-02   -6.611629e-02 
   5.090909e+01    5.954314e-02   -6.537544e-02 
   5.154545e+01    6.635804e-02   -6.442167e-02 
   5.218182e+01    7.319049e-02   -6.349182e-02 
   5.281818e+01    8.017758e-02   -6.337452e-02 
   5.345455e+01    8.748042e-02   -6.324321e-02 
   5.409091e+01    9.480658e-02   -6.311498e-02 
   5.472727e+01    1.023679e-01   -6.276718e-02 
   5.536364e+01    1.101658e-01   -6.221122e-02 
   5.600000e+01    1.136385e-01   -6.549120e-02 
   5.663636e+01    1.069740e-01   -7.483979e-02 
   5.727273e+01    1.002611e-01   -8.408154e-02 
   5.790909e+01    9.437985e-02   -9.173763e-02 
   5.854545e+01    8.866899e-02   -9.896081e-02 
   5.918182e+01    6.437148e-02   -1.069607e-01 
   5.981818e+01    2.060178e-02   -1.273151e-01 
   6.045455e+01   -8.683182e-03   -1.326374e-01 
   6.109091e+01   -3.413124e-02   -1.348194e-01 
   6.172727e+01   -1.010436e-01   -1.734534e-01 
   6.236364e+01   -1.270530e-01   -1.598057e-01 
   6.300000e+01   -1.043817e-01   -9.290736e-02 
