   [1]radialPos        [2]errFn        [3]errFa 
   0.000000e+00            -Inf             Inf 
   6.363636e-01    1.579361e-02    7.483928e-01 
   1.272727e+00   -2.904426e-01   -7.321730e-02 
   1.909091e+00   -2.937537e-01   -2.581305e-01 
   2.545455e+00   -1.982492e-01   -2.828464e-01 
   3.181818e+00   -1.436021e-01   -2.945364e-01 
   3.818182e+00   -1.116682e-01   -2.965222e-01 
   4.454545e+00   -1.286209e-01   -3.180921e-01 
   5.090909e+00   -1.719763e-01   -3.602785e-01 
   5.727273e+00   -2.090841e-01   -3.967785e-01 
   6.363636e+00   -2.038487e-01   -4.011590e-01 
   7.000000e+00   -1.934680e-01   -4.004344e-01 
   7.636364e+00   -8.132889e-01    3.082601e-01 
   8.272727e+00   -1.696917e+00    1.217989e+00 
   8.909091e+00   -3.266041e+00    1.287705e+00 
   9.545455e+00   -1.299981e+01    1.058652e+00 
   1.018182e+01    8.765322e+00    8.990412e-01 
   1.081818e+01    2.284384e+00    6.196423e-01 
   1.145455e+01    1.011100e+00    4.062605e-01 
   1.209091e+01    5.627729e-01    2.809152e-01 
   1.272727e+01    3.587126e-01    2.032159e-01 
   1.336364e+01    2.145867e-01    1.441309e-01 
   1.400000e+01    1.302972e-01    8.011429e-02 
   1.463636e+01    7.526534e-02    2.082300e-02 
   1.527273e+01   -7.376041e-03   -4.513157e-02 
   1.590909e+01   -4.115346e-02   -6.933606e-02 
   1.654545e+01   -4.427398e-02   -6.931787e-02 
   1.718182e+01   -4.737003e-02   -6.930098e-02 
   1.781818e+01   -4.869090e-02   -6.788980e-02 
   1.845455e+01   -4.743702e-02   -6.457842e-02 
   1.909091e+01   -4.972555e-02   -6.522731e-02 
   1.972727e+01   -6.029112e-02   -7.443434e-02 
   2.036364e+01   -7.086561e-02   -8.362256e-02 
   2.100000e+01   -8.145363e-02   -9.231142e-02 
   2.163636e+01   -9.205521e-02   -1.005405e-01 
   2.227273e+01   -1.034012e-01   -1.098452e-01 
   2.290909e+01   -1.151230e-01   -1.194132e-01 
   2.354545e+01   -1.157046e-01   -1.177113e-01 
   2.418182e+01   -1.117513e-01   -1.121932e-01 
   2.481818e+01   -1.094148e-01   -1.109273e-01 
   2.545455e+01   -1.070908e-01   -1.097359e-01 
   2.609091e+01   -1.047791e-01   -1.086127e-01 
   2.672727e+01   -1.033870e-01   -1.093324e-01 
   2.736364e+01   -1.031887e-01   -1.119225e-01 
   2.800000e+01   -1.061620e-01   -1.172576e-01 
   2.863636e+01   -1.091085e-01   -1.222849e-01 
   2.927273e+01   -1.093937e-01   -1.239848e-01 
   2.990909e+01   -1.092594e-01   -1.251305e-01 
   3.054545e+01   -1.091254e-01   -1.262234e-01 
   3.118182e+01   -1.090061e-01   -1.276971e-01 
   3.181818e+01   -1.050810e-01   -1.266816e-01 
   3.245455e+01   -9.729427e-02   -1.213886e-01 
   3.309091e+01   -8.952559e-02   -1.163448e-01 
   3.372727e+01   -8.197517e-02   -1.127609e-01 
   3.436364e+01   -7.467222e-02   -1.106971e-01 
   3.500000e+01   -6.739288e-02   -1.087349e-01 
   3.563636e+01   -6.013704e-02   -1.068671e-01 
   3.627273e+01   -5.483245e-02   -1.059030e-01 
   3.690909e+01   -4.965409e-02   -1.049711e-01 
   3.754545e+01   -4.448439e-02   -1.040795e-01 
   3.818182e+01   -3.926021e-02   -1.032538e-01 
   3.881818e+01   -3.358532e-02   -1.026613e-01 
   3.945455e+01   -2.791378e-02   -1.020933e-01 
   4.009091e+01   -2.334120e-02   -1.029581e-01 
   4.072727e+01   -2.121352e-02   -1.030062e-01 
   4.136364e+01   -1.898041e-02   -9.933550e-02 
   4.200000e+01   -1.674763e-02   -9.574494e-02 
   4.263636e+01   -1.451515e-02   -9.223198e-02 
   4.327273e+01   -1.317308e-02   -8.926921e-02 
   4.390909e+01   -1.184442e-02   -8.637783e-02 
   4.454545e+01   -8.785831e-03   -8.165056e-02 
   4.518182e+01   -4.237736e-03   -7.852840e-02 
   4.581818e+01    9.171260e-04   -7.731522e-02 
   4.645455e+01    6.075965e-03   -7.613812e-02 
   4.709091e+01    1.130304e-02   -7.498134e-02 
   4.772727e+01    1.674254e-02   -7.381302e-02 
   4.836364e+01    2.225513e-02   -7.273157e-02 
   4.900000e+01    2.839072e-02   -7.214131e-02 
   4.963636e+01    3.490488e-02   -7.129737e-02 
   5.027273e+01    4.143252e-02   -7.047587e-02 
   5.090909e+01    4.798091e-02   -6.966925e-02 
   5.154545e+01    5.479670e-02   -6.865246e-02 
   5.218182e+01    6.163003e-02   -6.766119e-02 
   5.281818e+01    6.870221e-02   -6.746481e-02 
   5.345455e+01    7.611237e-02   -6.725185e-02 
   5.409091e+01    8.354620e-02   -6.704390e-02 
   5.472727e+01    9.121335e-02   -6.661914e-02 
   5.536364e+01    9.911543e-02   -6.598883e-02 
   5.600000e+01    1.028198e-01   -6.914699e-02 
   5.663636e+01    9.671433e-02   -7.826110e-02 
   5.727273e+01    9.056457e-02   -8.727106e-02 
   5.790909e+01    8.524319e-02   -9.470282e-02 
   5.854545e+01    8.009545e-02   -1.017046e-01 
   5.918182e+01    5.649203e-02   -1.095118e-01 
   5.981818e+01    1.357432e-02   -1.296479e-01 
   6.045455e+01   -1.492245e-02   -1.347757e-01 
   6.109091e+01   -3.955033e-02   -1.367467e-01 
   6.172727e+01   -1.057814e-01   -1.751769e-01 
   6.236364e+01   -1.314006e-01   -1.614352e-01 
   6.300000e+01   -1.084238e-01   -9.445607e-02 
