   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -1.222652e+00    1.587664e+00    6.089104e+01    6.490982e+01    1.972554e+06    9.855940e+00   -2.125415e+01    7.674033e+01    1.032595e+01    1.857724e+01    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -2.415516e+00    2.251216e+00    5.156926e+01    5.701404e+01    2.255594e+06    1.045876e+01   -4.087749e+01    8.761573e+01    1.985960e+01    3.572906e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02   -4.506457e+00    3.413980e+00    3.806511e+01    4.488144e+01    2.830351e+06    1.207645e+01   -8.767892e+01    1.094558e+02    4.259724e+01    7.663595e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02   -7.045369e+00    4.825700e+00    2.634333e+01    3.347067e+01    3.743496e+06    1.468299e+01   -1.219688e+02    1.005116e+02    5.925638e+01    1.066071e+02    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02   -1.003217e+01    6.486520e+00    1.753326e+01    2.424730e+01    4.995446e+06    1.825939e+01    5.688973e+02    1.083593e+03   -2.763886e+02   -4.972459e+02    1.627598e+00    7.492579e-02 
   1.470000e+01    3.504121e-02   -1.346679e+01    8.396563e+00    1.192431e+01    1.794455e+01    6.346569e+06    2.271749e+01    7.592551e+02    1.793452e+03   -3.688705e+02   -6.636285e+02    1.640212e+00    1.770580e-02 
   1.890000e+01    3.168268e-02   -1.705005e+01    1.038912e+01    8.761729e+00    1.408579e+01    7.478394e+06    2.756530e+01    7.566543e+02    2.259722e+03   -3.676070e+02   -6.613553e+02    1.403729e+00    1.081370e-02 
   2.310000e+01    2.949244e-02   -2.063342e+01    1.238148e+01    6.809548e+00    1.151673e+01    8.377855e+06    3.251399e+01    6.952215e+02    2.525933e+03   -3.377609e+02   -6.076598e+02    1.167885e+00    8.539412e-03 
   2.730000e+01    2.709969e-02   -2.421680e+01    1.437380e+01    5.768833e+00    9.937847e+00    9.121949e+06    3.751739e+01    7.234379e+02    3.112830e+03   -3.514694e+02   -6.323225e+02    1.133912e+00    9.419422e-03 
   3.150000e+01    2.438434e-02   -2.780019e+01    1.636611e+01    5.332480e+00    9.032682e+00    9.691638e+06    4.255448e+01    7.311961e+02    3.618057e+03   -3.552386e+02   -6.391035e+02    1.086795e+00    8.844997e-03 
   3.570000e+01    2.135690e-02   -3.138361e+01    1.835837e+01    5.259345e+00    8.547204e+00    1.012323e+07    4.761521e+01    7.822657e+02    4.375115e+03   -3.800498e+02   -6.837410e+02    1.119642e+00    9.390900e-03 
   3.990000e+01    1.801684e-02   -3.496706e+01    2.035057e+01    5.433304e+00    8.343065e+00    1.041719e+07    5.269383e+01    8.190061e+02    5.082687e+03   -3.978995e+02   -7.158540e+02    1.138860e+00    9.537651e-03 
   4.410000e+01    1.471964e-02   -3.855055e+01    2.234271e+01    5.706067e+00    8.250392e+00    1.056086e+07    5.778648e+01    8.365372e+02    5.616308e+03   -4.064167e+02   -7.311771e+02    1.129837e+00    7.980926e-03 
   4.830000e+01    1.171234e-02   -4.213409e+01    2.433477e+01    5.987583e+00    8.165291e+00    1.055419e+07    6.289000e+01    8.675095e+02    6.259358e+03   -4.214640e+02   -7.582485e+02    1.156059e+00    8.321140e-03 
   5.232585e+01    8.605049e-03   -4.556905e+01    2.624419e+01    6.336183e+00    8.155457e+00    1.041497e+07    6.778933e+01    8.974090e+02    6.842417e+03   -4.359901e+02   -7.843823e+02    1.186912e+00    8.736070e-03 
   5.582671e+01    5.371978e-03   -4.855609e+01    2.790459e+01    6.738153e+00    8.239181e+00    1.014542e+07    7.205405e+01    9.216455e+02    7.298813e+03   -4.477650e+02   -8.055663e+02    1.222033e+00    9.226780e-03 
   5.880000e+01    2.968543e-03   -5.109301e+01    2.931475e+01    7.022491e+00    8.261843e+00    9.277313e+06    7.567889e+01    8.778084e+02    7.143915e+03   -4.264675e+02   -7.672503e+02    1.244849e+00    9.628224e-03 
   6.124829e+01    1.772336e-03   -5.318199e+01    3.047589e+01    7.149454e+00    8.179789e+00    6.954794e+06    7.866509e+01    6.720734e+02    5.582316e+03   -3.265148e+02   -5.874272e+02    1.247945e+00    9.984540e-03 
   6.264915e+01    7.038778e-04   -5.437726e+01    3.114027e+01    7.207728e+00    8.130277e+00    4.373520e+06    8.037437e+01    4.251474e+02    3.576088e+03   -2.065503e+02   -3.716010e+02    1.244024e+00    1.023762e-02 
