   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02    1.526907e+00    1.297733e+00    6.234401e+01    6.490982e+01    1.955751e+06    9.771985e+00   -1.891240e+01    7.595205e+01    1.695395e+01   -8.381068e+00    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02    2.132211e+00    2.521184e+00    5.284464e+01    5.701404e+01    2.228375e+06    1.033255e+01   -3.794171e+01    8.638728e+01    3.401271e+01   -1.681395e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02    3.192873e+00    4.665724e+00    3.897606e+01    4.488144e+01    2.787601e+06    1.189404e+01   -8.332298e+01    1.075164e+02    7.469459e+01   -3.692475e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02    4.480618e+00    7.269709e+00    2.692668e+01    3.347067e+01    3.689335e+06    1.447056e+01   -1.174501e+02    9.882612e+01    1.052878e+02   -5.204827e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02    5.995591e+00    1.033307e+01    1.788292e+01    2.424730e+01    4.933109e+06    1.803153e+01    5.603854e+02    1.056800e+03   -5.023555e+02    2.483360e+02    1.631105e+00    7.838830e-02 
   1.470000e+01    3.504121e-02    7.737920e+00    1.385574e+01    1.214195e+01    1.794455e+01    6.281748e+06    2.248546e+01    7.551427e+02    1.767277e+03   -6.769450e+02    3.346431e+02    1.652138e+00    1.860872e-02 
   1.890000e+01    3.168268e-02    9.555510e+00    1.753084e+01    8.909771e+00    1.408579e+01    7.416635e+06    2.733765e+01    7.571212e+02    2.241974e+03   -6.787186e+02    3.355198e+02    1.417219e+00    1.094449e-02 
   2.310000e+01    2.949244e-02    1.137289e+01    2.120604e+01    6.920915e+00    1.151673e+01    8.321318e+06    3.229458e+01    6.987633e+02    2.519287e+03   -6.264039e+02    3.096584e+02    1.181340e+00    8.596175e-03 
   2.730000e+01    2.709969e-02    1.319024e+01    2.488126e+01    5.859232e+00    9.937847e+00    9.070638e+06    3.730636e+01    7.261908e+02    3.103038e+03   -6.509911e+02    3.218130e+02    1.143579e+00    9.547614e-03 
   3.150000e+01    2.438434e-02    1.500756e+01    2.855650e+01    5.407560e+00    9.032682e+00    9.645982e+06    4.235401e+01    7.344060e+02    3.610050e+03   -6.583557e+02    3.254536e+02    1.094964e+00    8.940447e-03 
   3.570000e+01    2.135690e-02    1.682484e+01    3.223175e+01    5.329235e+00    8.547204e+00    1.008271e+07    4.742461e+01    7.865537e+02    4.368426e+03   -7.051032e+02    3.485629e+02    1.127180e+00    9.458663e-03 
   3.990000e+01    1.801684e-02    1.864207e+01    3.590703e+01    5.499272e+00    8.343065e+00    1.038157e+07    5.251368e+01    8.243423e+02    5.078643e+03   -7.389787e+02    3.653090e+02    1.145988e+00    9.600481e-03 
   4.410000e+01    1.471964e-02    2.045922e+01    3.958235e+01    5.770105e+00    8.250392e+00    1.052976e+07    5.761634e+01    8.420997e+02    5.611798e+03   -7.548973e+02    3.731783e+02    1.135792e+00    8.058521e-03 
   4.830000e+01    1.171234e-02    2.227629e+01    4.325770e+01    6.039833e+00    8.165291e+00    1.052722e+07    6.272931e+01    8.721198e+02    6.251822e+03   -7.818087e+02    3.864817e+02    1.160733e+00    8.383569e-03 
   5.232585e+01    8.605049e-03    2.401799e+01    4.678068e+01    6.384136e+00    8.155457e+00    1.039164e+07    6.763747e+01    9.021387e+02    6.835278e+03   -8.087190e+02    3.997846e+02    1.191131e+00    8.793650e-03 
   5.582671e+01    5.371978e-03    2.553253e+01    4.984426e+01    6.770893e+00    8.239181e+00    1.012512e+07    7.190988e+01    9.241538e+02    7.286071e+03   -8.284543e+02    4.095407e+02    1.224882e+00    9.267121e-03 
   5.880000e+01    2.968543e-03    2.681881e+01    5.244618e+01    7.052537e+00    8.261843e+00    9.260387e+06    7.554082e+01    8.798331e+02    7.130253e+03   -7.887232e+02    3.898999e+02    1.247093e+00    9.661607e-03 
   6.124829e+01    1.772336e-03    2.787795e+01    5.458868e+01    7.166772e+00    8.179789e+00    6.943038e+06    7.853211e+01    6.720311e+02    5.568276e+03   -6.024399e+02    2.978120e+02    1.249069e+00    1.000677e-02 
   6.264915e+01    7.038778e-04    2.848396e+01    5.581457e+01    7.223194e+00    8.130277e+00    4.366429e+06    8.024406e+01    4.249518e+02    3.566689e+03   -3.809465e+02    1.883183e+02    1.244825e+00    1.026307e-02 
