   [1]radialPos        [2]errFn        [3]errFa 
   0.000000e+00            -Inf             Inf 
   6.363636e-01    1.966733e-01    7.782441e-01 
   1.272727e+00   -1.898157e-01   -5.543178e-02 
   1.909091e+00   -2.088578e-01   -2.425555e-01 
   2.545455e+00   -1.145583e-01   -2.668101e-01 
   3.181818e+00   -6.272204e-02   -2.779043e-01 
   3.818182e+00   -3.383733e-02   -2.791724e-01 
   4.454545e+00   -5.707488e-02   -3.008463e-01 
   5.090909e+00   -1.083024e-01   -3.440466e-01 
   5.727273e+00   -1.517741e-01   -3.814208e-01 
   6.363636e+00   -1.492069e-01   -3.858596e-01 
   7.000000e+00   -1.408036e-01   -3.850611e-01 
   7.636364e+00   -7.809837e-01    3.575414e-01 
   8.272727e+00   -1.693080e+00    1.310655e+00 
   8.909091e+00   -3.301913e+00    1.386989e+00 
   9.545455e+00   -1.326204e+01    1.149779e+00 
   1.018182e+01    9.006462e+00    9.841278e-01 
   1.081818e+01    2.367321e+00    6.909932e-01 
   1.145455e+01    1.055363e+00    4.624681e-01 
   1.209091e+01    5.926089e-01    3.277952e-01 
   1.272727e+01    3.810680e-01    2.438477e-01 
   1.336364e+01    2.316586e-01    1.800114e-01 
   1.400000e+01    1.437108e-01    1.117454e-01 
   1.463636e+01    8.586944e-02    4.887324e-02 
   1.527273e+01    1.559767e-03   -2.039930e-02 
   1.590909e+01   -3.323277e-02   -4.658147e-02 
   1.654545e+01   -3.708684e-02   -4.781383e-02 
   1.718182e+01   -4.091067e-02   -4.895844e-02 
   1.781818e+01   -4.294306e-02   -4.860001e-02 
   1.845455e+01   -4.238413e-02   -4.623522e-02 
   1.909091e+01   -4.513584e-02   -4.772810e-02 
   1.972727e+01   -5.562197e-02   -5.762409e-02 
   2.036364e+01   -6.611690e-02   -6.747208e-02 
   2.100000e+01   -7.662526e-02   -7.678483e-02 
   2.163636e+01   -8.714708e-02   -8.560482e-02 
   2.227273e+01   -9.841726e-02   -9.549410e-02 
   2.290909e+01   -1.100655e-01   -1.056274e-01 
   2.354545e+01   -1.098527e-01   -1.035695e-01 
   2.418182e+01   -1.047990e-01   -9.735194e-02 
   2.481818e+01   -1.013787e-01   -9.549172e-02 
   2.545455e+01   -9.797648e-02   -9.374110e-02 
   2.609091e+01   -9.459233e-02   -9.209068e-02 
   2.672727e+01   -9.214492e-02   -9.234642e-02 
   2.736364e+01   -9.092170e-02   -9.453870e-02 
   2.800000e+01   -9.298184e-02   -9.957235e-02 
   2.863636e+01   -9.502337e-02   -1.043155e-01 
   2.927273e+01   -9.436738e-02   -1.056837e-01 
   2.990909e+01   -9.328724e-02   -1.065035e-01 
   3.054545e+01   -9.220941e-02   -1.072856e-01 
   3.118182e+01   -9.114861e-02   -1.084719e-01 
   3.181818e+01   -8.626261e-02   -1.071363e-01 
   3.245455e+01   -7.749429e-02   -1.014504e-01 
   3.309091e+01   -6.874632e-02   -9.603225e-02 
   3.372727e+01   -6.022362e-02   -9.211973e-02 
   3.436364e+01   -5.195663e-02   -8.977472e-02 
   3.500000e+01   -4.371637e-02   -8.754521e-02 
   3.563636e+01   -3.550271e-02   -8.542286e-02 
   3.627273e+01   -2.920349e-02   -8.421222e-02 
   3.690909e+01   -2.302526e-02   -8.304184e-02 
   3.754545e+01   -1.685736e-02   -8.192215e-02 
   3.818182e+01   -1.063476e-02   -8.087870e-02 
   3.881818e+01   -3.948935e-03   -8.008255e-02 
   3.945455e+01    2.732952e-03   -7.931916e-02 
   4.009091e+01    8.149926e-03   -8.011123e-02 
   4.072727e+01    1.073947e-02   -8.025007e-02 
   4.136364e+01    1.343778e-02   -7.657334e-02 
   4.200000e+01    1.613571e-02   -7.297693e-02 
   4.263636e+01    1.883325e-02   -6.945823e-02 
   4.327273e+01    2.060986e-02   -6.650173e-02 
   4.390909e+01    2.237184e-02   -6.361661e-02 
   4.454545e+01    2.602208e-02   -5.881195e-02 
   4.518182e+01    3.125568e-02   -5.563601e-02 
   4.581818e+01    3.711775e-02   -5.441580e-02 
   4.645455e+01    4.298435e-02   -5.323187e-02 
   4.709091e+01    4.892212e-02   -5.206813e-02 
   4.772727e+01    5.508079e-02   -5.089192e-02 
   4.836364e+01    6.127597e-02   -4.982160e-02 
   4.900000e+01    6.775786e-02   -4.940848e-02 
   4.963636e+01    7.463300e-02   -4.873024e-02 
   5.027273e+01    8.152238e-02   -4.807004e-02 
   5.090909e+01    8.843353e-02   -4.742033e-02 
   5.154545e+01    9.562265e-02   -4.655090e-02 
   5.218182e+01    1.028303e-01   -4.570328e-02 
   5.281818e+01    1.098385e-01   -4.580214e-02 
   5.345455e+01    1.170656e-01   -4.591648e-02 
   5.409091e+01    1.243158e-01   -4.602813e-02 
   5.472727e+01    1.318064e-01   -4.591063e-02 
   5.536364e+01    1.395390e-01   -4.557594e-02 
   5.600000e+01    1.427972e-01   -4.916870e-02 
   5.663636e+01    1.355574e-01   -5.901038e-02 
   5.727273e+01    1.282652e-01   -6.873959e-02 
   5.790909e+01    1.218224e-01   -7.685333e-02 
   5.854545e+01    1.155504e-01   -8.452452e-02 
   5.918182e+01    9.041239e-02   -9.289779e-02 
   5.981818e+01    4.543932e-02   -1.137765e-01 
   6.045455e+01    1.529447e-02   -1.194107e-01 
   6.109091e+01   -1.093476e-02   -1.218874e-01 
   6.172727e+01   -8.018499e-02   -1.614756e-01 
   6.236364e+01   -1.080517e-01   -1.482152e-01 
   6.300000e+01   -8.696093e-02   -8.139964e-02 
