   [1]radialPos        [2]errFn        [3]errFa 
   0.000000e+00            -Inf             Inf 
   6.363636e-01    1.852548e-01    7.642855e-01 
   1.272727e+00   -1.964939e-01   -6.279577e-02 
   1.909091e+00   -2.146409e-01   -2.483638e-01 
   2.545455e+00   -1.201857e-01   -2.721881e-01 
   3.181818e+00   -6.810354e-02   -2.829878e-01 
   3.818182e+00   -3.897114e-02   -2.840570e-01 
   4.454545e+00   -6.181259e-02   -3.055335e-01 
   5.090909e+00   -1.126040e-01   -3.485634e-01 
   5.727273e+00   -1.557198e-01   -3.857968e-01 
   6.363636e+00   -1.530371e-01   -3.903241e-01 
   7.000000e+00   -1.445587e-01   -3.896559e-01 
   7.636364e+00   -7.795882e-01    3.491324e-01 
   8.272727e+00   -1.684431e+00    1.297381e+00 
   8.909091e+00   -3.279177e+00    1.373698e+00 
   9.545455e+00   -1.314969e+01    1.138011e+00 
   1.018182e+01    8.918122e+00    9.733826e-01 
   1.081818e+01    2.337309e+00    6.815921e-01 
   1.145455e+01    1.034983e+00    4.533291e-01 
   1.209091e+01    5.753719e-01    3.187365e-01 
   1.272727e+01    3.649808e-01    2.347597e-01 
   1.336364e+01    2.163833e-01    1.709011e-01 
   1.400000e+01    1.287359e-01    1.027636e-01 
   1.463636e+01    7.096130e-02    4.007088e-02 
   1.527273e+01   -1.335024e-02   -2.946862e-02 
   1.590909e+01   -4.880306e-02   -5.623256e-02 
   1.654545e+01   -5.376870e-02   -5.821683e-02 
   1.718182e+01   -5.869538e-02   -6.005980e-02 
   1.781818e+01   -6.185682e-02   -6.036934e-02 
   1.845455e+01   -6.247646e-02   -5.865636e-02 
   1.909091e+01   -6.645279e-02   -6.093024e-02 
   1.972727e+01   -7.826908e-02   -7.194113e-02 
   2.036364e+01   -9.009599e-02   -8.283471e-02 
   2.100000e+01   -1.019380e-01   -9.313624e-02 
   2.163636e+01   -1.137952e-01   -1.028927e-01 
   2.227273e+01   -1.263797e-01   -1.136396e-01 
   2.290909e+01   -1.393292e-01   -1.245683e-01 
   2.354545e+01   -1.399745e-01   -1.229169e-01 
   2.418182e+01   -1.355808e-01   -1.169271e-01 
   2.481818e+01   -1.327625e-01   -1.151949e-01 
   2.545455e+01   -1.299591e-01   -1.135647e-01 
   2.609091e+01   -1.271706e-01   -1.120279e-01 
   2.672727e+01   -1.252822e-01   -1.123509e-01 
   2.736364e+01   -1.246406e-01   -1.146187e-01 
   2.800000e+01   -1.277956e-01   -1.201412e-01 
   2.863636e+01   -1.309222e-01   -1.253449e-01 
   2.927273e+01   -1.314511e-01   -1.272228e-01 
   2.990909e+01   -1.315702e-01   -1.285397e-01 
   3.054545e+01   -1.316891e-01   -1.297959e-01 
   3.118182e+01   -1.318218e-01   -1.314237e-01 
   3.181818e+01   -1.280999e-01   -1.304079e-01 
   3.245455e+01   -1.204695e-01   -1.249796e-01 
   3.309091e+01   -1.128568e-01   -1.198067e-01 
   3.372727e+01   -1.054568e-01   -1.160951e-01 
   3.436364e+01   -9.829816e-02   -1.139049e-01 
   3.500000e+01   -9.116262e-02   -1.118225e-01 
   3.563636e+01   -8.405012e-02   -1.098402e-01 
   3.627273e+01   -7.885134e-02   -1.088075e-01 
   3.690909e+01   -7.377696e-02   -1.078148e-01 
   3.754545e+01   -6.871106e-02   -1.068651e-01 
   3.818182e+01   -6.359212e-02   -1.059836e-01 
   3.881818e+01   -5.803391e-02   -1.053371e-01 
   3.945455e+01   -5.247898e-02   -1.047172e-01 
   4.009091e+01   -4.782504e-02   -1.054170e-01 
   4.072727e+01   -4.515722e-02   -1.050521e-01 
   4.136364e+01   -4.238670e-02   -1.009877e-01 
   4.200000e+01   -3.961657e-02   -9.701200e-02 
   4.263636e+01   -3.684684e-02   -9.312225e-02 
   4.327273e+01   -3.494794e-02   -8.979048e-02 
   4.390909e+01   -3.306330e-02   -8.653827e-02 
   4.454545e+01   -2.961436e-02   -8.158123e-02 
   4.518182e+01   -2.476265e-02   -7.828709e-02 
   4.581818e+01   -1.931662e-02   -7.690725e-02 
   4.645455e+01   -1.386640e-02   -7.556845e-02 
   4.709091e+01   -8.348955e-03   -7.425471e-02 
   4.772727e+01   -2.622784e-03   -7.293390e-02 
   4.836364e+01    3.199594e-03   -7.169018e-02 
   4.900000e+01    9.849718e-03   -7.081700e-02 
   4.963636e+01    1.687265e-02   -6.969746e-02 
   5.027273e+01    2.391014e-02   -6.860770e-02 
   5.090909e+01    3.096929e-02   -6.753985e-02 
   5.154545e+01    3.829295e-02   -6.626800e-02 
   5.218182e+01    4.563547e-02   -6.502806e-02 
   5.281818e+01    5.327368e-02   -6.460906e-02 
   5.345455e+01    6.126417e-02   -6.418385e-02 
   5.409091e+01    6.928018e-02   -6.376864e-02 
   5.472727e+01    7.752874e-02   -6.314062e-02 
   5.536364e+01    8.601185e-02   -6.231077e-02 
   5.600000e+01    9.031714e-02   -6.529804e-02 
   5.663636e+01    8.484615e-02   -7.429195e-02 
   5.727273e+01    7.933544e-02   -8.318308e-02 
   5.790909e+01    7.464926e-02   -9.049049e-02 
   5.854545e+01    7.014034e-02   -9.736715e-02 
   5.918182e+01    4.765333e-02   -1.048896e-01 
   5.981818e+01    6.272054e-03   -1.246655e-01 
   6.045455e+01   -2.071209e-02   -1.292993e-01 
   6.109091e+01   -4.372503e-02   -1.306867e-01 
   6.172727e+01   -1.089437e-01   -1.690645e-01 
   6.236364e+01   -1.338300e-01   -1.549021e-01 
   6.300000e+01   -1.098555e-01   -8.685331e-02 
