   [1]radialPos        [2]errFn        [3]errFa 
   0.000000e+00            -Inf             Inf 
   6.363636e-01    1.710599e-01    7.614929e-01 
   1.272727e+00   -2.047462e-01   -6.407272e-02 
   1.909091e+00   -2.220867e-01   -2.494445e-01 
   2.545455e+00   -1.285123e-01   -2.738229e-01 
   3.181818e+00   -7.691297e-02   -2.851118e-01 
   3.818182e+00   -4.804876e-02   -2.866351e-01 
   4.454545e+00   -7.064110e-02   -3.082664e-01 
   5.090909e+00   -1.208915e-01   -3.511028e-01 
   5.727273e+00   -1.635532e-01   -3.881674e-01 
   6.363636e+00   -1.608504e-01   -3.926529e-01 
   7.000000e+00   -1.524105e-01   -3.919619e-01 
   7.636364e+00   -7.844804e-01    3.407665e-01 
   8.272727e+00   -1.685065e+00    1.281253e+00 
   8.909091e+00   -3.273896e+00    1.356272e+00 
   9.545455e+00   -1.311075e+01    1.121950e+00 
   1.018182e+01    8.882223e+00    9.583480e-01 
   1.081818e+01    2.325389e+00    6.690197e-01 
   1.145455e+01    1.029768e+00    4.436062e-01 
   1.209091e+01    5.727769e-01    3.107773e-01 
   1.272727e+01    3.638703e-01    2.279905e-01 
   1.336364e+01    2.163214e-01    1.650369e-01 
   1.400000e+01    1.294689e-01    9.769327e-02 
   1.463636e+01    7.234780e-02    3.566205e-02 
   1.527273e+01   -1.126017e-02   -3.294195e-02 
   1.590909e+01   -4.598079e-02   -5.899801e-02 
   1.654545e+01   -5.015601e-02   -6.040829e-02 
   1.718182e+01   -5.429847e-02   -6.171814e-02 
   1.781818e+01   -5.667228e-02   -6.153295e-02 
   1.845455e+01   -5.649140e-02   -5.935828e-02 
   1.909091e+01   -5.965128e-02   -6.106224e-02 
   1.972727e+01   -7.061530e-02   -7.122923e-02 
   2.036364e+01   -8.158880e-02   -8.132600e-02 
   2.100000e+01   -9.257635e-02   -9.087402e-02 
   2.163636e+01   -1.035780e-01   -9.991683e-02 
   2.227273e+01   -1.153148e-01   -1.099930e-01 
   2.290909e+01   -1.274220e-01   -1.202905e-01 
   2.354545e+01   -1.275473e-01   -1.183783e-01 
   2.418182e+01   -1.227751e-01   -1.122847e-01 
   2.481818e+01   -1.196028e-01   -1.104751e-01 
   2.545455e+01   -1.164473e-01   -1.087722e-01 
   2.609091e+01   -1.133085e-01   -1.071668e-01 
   2.672727e+01   -1.110860e-01   -1.074349e-01 
   2.736364e+01   -1.100964e-01   -1.096291e-01 
   2.800000e+01   -1.126388e-01   -1.148143e-01 
   2.863636e+01   -1.151582e-01   -1.197002e-01 
   2.927273e+01   -1.150369e-01   -1.212573e-01 
   2.990909e+01   -1.144999e-01   -1.222655e-01 
   3.054545e+01   -1.139639e-01   -1.232272e-01 
   3.118182e+01   -1.134435e-01   -1.245771e-01 
   3.181818e+01   -1.089646e-01   -1.232957e-01 
   3.245455e+01   -1.004723e-01   -1.175984e-01 
   3.309091e+01   -9.199970e-02   -1.121692e-01 
   3.372727e+01   -8.374661e-02   -1.082239e-01 
   3.436364e+01   -7.574265e-02   -1.058234e-01 
   3.500000e+01   -6.776457e-02   -1.035410e-01 
   3.563636e+01   -5.981224e-02   -1.013684e-01 
   3.627273e+01   -5.353607e-02   -9.998759e-02 
   3.690909e+01   -4.735697e-02   -9.864307e-02 
   3.754545e+01   -4.118820e-02   -9.735679e-02 
   3.818182e+01   -3.496635e-02   -9.615333e-02 
   3.881818e+01   -2.829282e-02   -9.520047e-02 
   3.945455e+01   -2.162321e-02   -9.428681e-02 
   4.009091e+01   -1.606031e-02   -9.483264e-02 
   4.072727e+01   -1.295865e-02   -9.456551e-02 
   4.136364e+01   -9.750911e-03   -9.055278e-02 
   4.200000e+01   -6.543623e-03   -8.662772e-02 
   4.263636e+01   -3.336787e-03   -8.278747e-02 
   4.327273e+01   -1.031444e-03   -7.950951e-02 
   4.390909e+01    1.258476e-03   -7.630998e-02 
   4.454545e+01    5.268747e-03   -7.127336e-02 
   4.518182e+01    1.077472e-02   -6.787188e-02 
   4.581818e+01    1.689676e-02   -6.640832e-02 
   4.645455e+01    2.302351e-02   -6.498828e-02 
   4.709091e+01    2.922039e-02   -6.359551e-02 
   4.772727e+01    3.563443e-02   -6.219744e-02 
   4.836364e+01    4.205217e-02   -6.092119e-02 
   4.900000e+01    4.845814e-02   -6.039367e-02 
   4.963636e+01    5.525033e-02   -5.960735e-02 
   5.027273e+01    6.205658e-02   -5.884194e-02 
   5.090909e+01    6.888429e-02   -5.808985e-02 
   5.154545e+01    7.598508e-02   -5.712333e-02 
   5.218182e+01    8.310415e-02   -5.618105e-02 
   5.281818e+01    8.975278e-02   -5.625033e-02 
   5.345455e+01    9.653506e-02   -5.635669e-02 
   5.409091e+01    1.033390e-01   -5.646055e-02 
   5.472727e+01    1.103779e-01   -5.633790e-02 
   5.536364e+01    1.176530e-01   -5.600059e-02 
   5.600000e+01    1.204470e-01   -5.954642e-02 
   5.663636e+01    1.126970e-01   -6.926890e-02 
   5.727273e+01    1.048908e-01   -7.888027e-02 
   5.790909e+01    9.791101e-02   -8.689388e-02 
   5.854545e+01    9.109231e-02   -9.446984e-02 
   5.918182e+01    6.595003e-02   -1.027265e-01 
   5.981818e+01    2.148067e-02   -1.233415e-01 
   6.045455e+01   -8.534675e-03   -1.288727e-01 
   6.109091e+01   -3.478004e-02   -1.312745e-01 
   6.172727e+01   -1.025124e-01   -1.702307e-01 
   6.236364e+01   -1.296881e-01   -1.567371e-01 
   6.300000e+01   -1.090848e-01   -8.995083e-02 
