   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02    1.182463e+00   -1.617819e+00    6.313838e+01    6.490982e+01    1.955389e+06    9.770172e+00   -1.782271e+01    7.618514e+01   -9.046684e+00   -1.535599e+01    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02    2.358316e+00   -2.311069e+00    5.361198e+01    5.701404e+01    2.224106e+06    1.031276e+01   -3.662201e+01    8.656105e+01   -1.858908e+01   -3.155341e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02    4.419448e+00   -3.525890e+00    3.963861e+01    4.488144e+01    2.777818e+06    1.185230e+01   -8.148710e+01    1.077175e+02   -4.136229e+01   -7.020904e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02    6.922167e+00   -5.000820e+00    2.743967e+01    3.347067e+01    3.673659e+06    1.440907e+01   -1.155659e+02    9.902918e+01   -5.866044e+01   -9.957119e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02    9.866391e+00   -6.736001e+00    1.824753e+01    2.424730e+01    4.912731e+06    1.795705e+01    5.603070e+02    1.046517e+03    2.844080e+02    4.827588e+02    1.631945e+00    8.232799e-02 
   1.470000e+01    3.504121e-02    1.325205e+01   -8.731555e+00    1.238515e+01    1.794455e+01    6.260286e+06    2.240864e+01    7.620733e+02    1.765571e+03    3.868232e+02    6.566000e+02    1.664484e+00    1.972765e-02 
   1.890000e+01    3.168268e-02    1.678422e+01   -1.081333e+01    9.072199e+00    1.408579e+01    7.395761e+06    2.726071e+01    7.668087e+02    2.249922e+03    3.892268e+02    6.606800e+02    1.431637e+00    1.112193e-02 
   2.310000e+01    2.949244e-02    2.031651e+01   -1.289489e+01    7.029588e+00    1.151673e+01    8.301337e+06    3.221703e+01    7.076218e+02    2.532517e+03    3.591839e+02    6.096847e+02    1.193899e+00    8.683193e-03 
   2.730000e+01    2.709969e-02    2.384881e+01   -1.497643e+01    5.927154e+00    9.937847e+00    9.051515e+06    3.722771e+01    7.313172e+02    3.108759e+03    3.712116e+02    6.301007e+02    1.150845e+00    9.644275e-03 
   3.150000e+01    2.438434e-02    2.738113e+01   -1.705795e+01    5.441427e+00    9.032682e+00    9.627058e+06    4.227092e+01    7.360748e+02    3.607558e+03    3.736265e+02    6.341998e+02    1.098644e+00    8.983975e-03 
   3.570000e+01    2.135690e-02    3.091348e+01   -1.913943e+01    5.325489e+00    8.547204e+00    1.006405e+07    4.733687e+01    7.830616e+02    4.350682e+03    3.974767e+02    6.746834e+02    1.126753e+00    9.456050e-03 
   3.990000e+01    1.801684e-02    3.444586e+01   -2.122085e+01    5.457114e+00    8.343065e+00    1.036309e+07    5.242018e+01    8.143968e+02    5.040846e+03    4.133822e+02    7.016818e+02    1.141384e+00    9.562733e-03 
   4.410000e+01    1.471964e-02    3.797827e+01   -2.330220e+01    5.687021e+00    8.250392e+00    1.051158e+07    5.751685e+01    8.256431e+02    5.555489e+03    4.190908e+02    7.113716e+02    1.128051e+00    7.957995e-03 
   4.830000e+01    1.171234e-02    4.151073e+01   -2.538348e+01    5.933779e+00    8.165291e+00    1.050944e+07    6.262334e+01    8.507642e+02    6.180109e+03    4.318421e+02    7.330158e+02    1.151018e+00    8.257018e-03 
   5.232585e+01    8.605049e-03    4.489675e+01   -2.737842e+01    6.269996e+00    8.155457e+00    1.037425e+07    6.752432e+01    8.783532e+02    6.756185e+03    4.458460e+02    7.567864e+02    1.180997e+00    8.659586e-03 
   5.582671e+01    5.371978e-03    4.784122e+01   -2.911319e+01    6.682835e+00    8.239181e+00    1.010813e+07    7.178924e+01    9.043686e+02    7.216784e+03    4.590513e+02    7.792012e+02    1.217085e+00    9.163007e-03 
   5.880000e+01    2.968543e-03    5.034199e+01   -3.058650e+01    6.995534e+00    8.261843e+00    9.244712e+06    7.541295e+01    8.668545e+02    7.081806e+03    4.400094e+02    7.468792e+02    1.242675e+00    9.601119e-03 
   6.124829e+01    1.772336e-03    5.240120e+01   -3.179966e+01    7.151978e+00    8.179789e+00    6.931131e+06    7.839744e+01    6.677855e+02    5.544823e+03    3.389633e+02    5.753619e+02    1.248048e+00    9.990308e-03 
   6.264915e+01    7.038778e-04    5.357943e+01   -3.249379e+01    7.228062e+00    8.130277e+00    4.358880e+06    8.010532e+01    4.238476e+02    3.555003e+03    2.151421e+02    3.651858e+02    1.245060e+00    1.027134e-02 
