   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -3.929156e-01   -1.964987e+00    6.237873e+01    6.490982e+01    1.954380e+06    9.765132e+00   -1.883747e+01    7.585699e+01   -1.842407e+01   -3.924787e+00    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -1.089550e-01   -3.300124e+00    5.288975e+01    5.701404e+01    2.227665e+06    1.032926e+01   -3.784821e+01    8.636240e+01   -3.701761e+01   -7.885674e+00    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02    3.890626e-01   -5.640217e+00    3.904681e+01    4.488144e+01    2.789337e+06    1.190145e+01   -8.329379e+01    1.077541e+02   -8.146586e+01   -1.735426e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02    9.938966e-01   -8.481555e+00    2.699847e+01    3.347067e+01    3.692752e+06    1.448396e+01   -1.175440e+02    9.915727e+01   -1.149644e+02   -2.449029e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02    1.705387e+00   -1.182417e+01    1.791882e+01    2.424730e+01    4.937354e+06    1.804705e+01    5.620768e+02    1.058840e+03    5.497417e+02    1.171087e+02    1.631820e+00    7.871333e-02 
   1.470000e+01    3.504121e-02    2.523393e+00   -1.566810e+01    1.213293e+01    1.794455e+01    6.287806e+06    2.250714e+01    7.561585e+02    1.770319e+03    7.395641e+02    1.575456e+02    1.651698e+00    1.856639e-02 
   1.890000e+01    3.168268e-02    3.376900e+00   -1.967828e+01    8.869401e+00    1.408579e+01    7.423255e+06    2.736206e+01    7.548825e+02    2.240533e+03    7.383161e+02    1.572797e+02    1.413448e+00    1.091087e-02 
   2.310000e+01    2.949244e-02    4.230642e+00   -2.368840e+01    6.858963e+00    1.151673e+01    8.327012e+06    3.231668e+01    6.925393e+02    2.507548e+03    6.773411e+02    1.442906e+02    1.173870e+00    8.562287e-03 
   2.730000e+01    2.709969e-02    5.084413e+00   -2.769853e+01    5.773388e+00    9.937847e+00    9.074456e+06    3.732206e+01    7.164566e+02    3.081711e+03    7.007335e+02    1.492737e+02    1.134378e+00    9.426308e-03 
   3.150000e+01    2.438434e-02    5.938209e+00   -3.170864e+01    5.290750e+00    9.032682e+00    9.646585e+06    4.235666e+01    7.188803e+02    3.570148e+03    7.031040e+02    1.497787e+02    1.082290e+00    8.787243e-03 
   3.570000e+01    2.135690e-02    6.792055e+00   -3.571875e+01    5.177276e+00    8.547204e+00    1.008057e+07    4.741456e+01    7.633252e+02    4.304754e+03    7.465735e+02    1.590388e+02    1.110696e+00    9.315326e-03 
   3.990000e+01    1.801684e-02    7.645959e+00   -3.972884e+01    5.299467e+00    8.343065e+00    1.037687e+07    5.248989e+01    7.906264e+02    4.980656e+03    7.732756e+02    1.647270e+02    1.124267e+00    9.416607e-03 
   4.410000e+01    1.471964e-02    8.499946e+00   -4.373892e+01    5.518214e+00    8.250392e+00    1.052292e+07    5.757890e+01    8.001806e+02    5.492241e+03    7.826201e+02    1.667176e+02    1.112338e+00    7.753590e-03 
   4.830000e+01    1.171234e-02    9.354014e+00   -4.774897e+01    5.752310e+00    8.165291e+00    1.051859e+07    6.267786e+01    8.209460e+02    6.102596e+03    8.029298e+02    1.710441e+02    1.134131e+00    8.037056e-03 
   5.232585e+01    8.605049e-03    1.017271e+01   -5.159275e+01    6.093275e+00    8.155457e+00    1.038174e+07    6.757304e+01    8.479076e+02    6.678866e+03    8.292997e+02    1.766615e+02    1.165350e+00    8.450606e-03 
   5.582671e+01    5.371978e-03    1.088468e+01   -5.493527e+01    6.532208e+00    8.239181e+00    1.011435e+07    7.183342e+01    8.772919e+02    7.149151e+03    8.580392e+02    1.827838e+02    1.203814e+00    8.982748e-03 
   5.880000e+01    2.968543e-03    1.148938e+01   -5.777408e+01    6.886157e+00    8.261843e+00    9.249645e+06    7.545319e+01    8.480781e+02    7.036832e+03    8.294664e+02    1.766970e+02    1.233188e+00    9.465394e-03 
   6.124829e+01    1.772336e-03    1.198733e+01   -6.011163e+01    7.078454e+00    8.179789e+00    6.934360e+06    7.843396e+01    6.589097e+02    5.529021e+03    6.444495e+02    1.372838e+02    1.243147e+00    9.901223e-03 
   6.264915e+01    7.038778e-04    1.227225e+01   -6.144912e+01    7.183050e+00    8.130277e+00    4.360740e+06    8.013951e+01    4.207597e+02    3.551533e+03    4.115259e+02    8.766528e+01    1.242674e+00    1.019798e-02 
