   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -9.621852e-01   -1.757770e+00    6.200029e+01    6.490982e+01    1.957842e+06    9.782428e+00   -1.942260e+01    7.599690e+01   -1.933760e+01    1.815182e+00    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -1.090199e+00   -3.116754e+00    5.253778e+01    5.701404e+01    2.233462e+06    1.035614e+01   -3.858885e+01    8.657481e+01   -3.841996e+01    3.606405e+00    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02   -1.314263e+00   -5.498739e+00    3.876467e+01    4.488144e+01    2.799190e+06    1.194349e+01   -8.442418e+01    1.081008e+02   -8.405469e+01    7.890045e+00    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02   -1.586187e+00   -8.390984e+00    2.678914e+01    3.347067e+01    3.706620e+06    1.453835e+01   -1.187970e+02    9.946944e+01   -1.182770e+02    1.110243e+01    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02   -1.906133e+00   -1.179347e+01    1.777420e+01    2.424730e+01    4.955156e+06    1.811212e+01    5.636778e+02    1.066289e+03    5.612108e+02   -5.267973e+01    1.630087e+00    7.730504e-02 
   1.470000e+01    3.504121e-02   -2.274243e+00   -1.570620e+01    1.202754e+01    1.794455e+01    6.308248e+06    2.258032e+01    7.558191e+02    1.777312e+03    7.525111e+02   -7.063671e+01    1.646386e+00    1.808003e-02 
   1.890000e+01    3.168268e-02   -2.658158e+00   -1.978818e+01    8.785384e+00    1.408579e+01    7.444897e+06    2.744183e+01    7.518379e+02    2.242310e+03    7.485474e+02   -7.026464e+01    1.405667e+00    1.083933e-02 
   2.310000e+01    2.949244e-02   -3.041834e+00   -2.387019e+01    6.786572e+00    1.151673e+01    8.349106e+06    3.240242e+01    6.878196e+02    2.502999e+03    6.848092e+02   -6.428167e+01    1.165135e+00    8.523885e-03 
   2.730000e+01    2.709969e-02   -3.425481e+00   -2.795220e+01    5.710412e+00    9.937847e+00    9.096877e+06    3.741428e+01    7.124243e+02    3.079309e+03    7.093063e+02   -6.658116e+01    1.127633e+00    9.337403e-03 
   3.150000e+01    2.438434e-02   -3.809102e+00   -3.203422e+01    5.237975e+00    9.032682e+00    9.669503e+06    4.245729e+01    7.152476e+02    3.568744e+03    7.121172e+02   -6.684502e+01    1.076547e+00    8.719920e-03 
   3.570000e+01    2.135690e-02   -4.192672e+00   -3.611623e+01    5.124606e+00    8.547204e+00    1.010361e+07    4.752292e+01    7.589433e+02    4.302993e+03    7.556217e+02   -7.092869e+01    1.105005e+00    9.264817e-03 
   3.990000e+01    1.801684e-02   -4.576183e+00   -4.019826e+01    5.251562e+00    8.343065e+00    1.040001e+07    5.260693e+01    7.863383e+02    4.980490e+03    7.828967e+02   -7.348895e+01    1.119085e+00    9.371436e-03 
   4.410000e+01    1.471964e-02   -4.959610e+00   -4.428029e+01    5.474377e+00    8.250392e+00    1.054617e+07    5.770613e+01    7.966839e+02    5.496880e+03    7.931971e+02   -7.445582e+01    1.108254e+00    7.700848e-03 
   4.830000e+01    1.171234e-02   -5.342954e+00   -4.836233e+01    5.718366e+00    8.165291e+00    1.054203e+07    6.281755e+01    8.187964e+02    6.113260e+03    8.152127e+02   -7.652239e+01    1.130978e+00    7.995855e-03 
   5.232585e+01    8.605049e-03   -5.710360e+00   -5.227512e+01    6.066589e+00    8.155457e+00    1.040523e+07    6.772598e+01    8.470047e+02    6.696022e+03    8.432976e+02   -7.915866e+01    1.163006e+00    8.418426e-03 
   5.582671e+01    5.371978e-03   -6.029825e+00   -5.567765e+01    6.508894e+00    8.239181e+00    1.013771e+07    7.199932e+01    8.770347e+02    7.170506e+03    8.731962e+02   -8.196518e+01    1.201795e+00    8.953726e-03 
   5.880000e+01    2.968543e-03   -6.301115e+00   -5.856745e+01    6.864924e+00    8.261843e+00    9.271513e+06    7.563158e+01    8.483133e+02    7.060139e+03    8.446005e+02   -7.928096e+01    1.231390e+00    9.437625e-03 
   6.124829e+01    1.772336e-03   -6.524486e+00   -6.094699e+01    7.065592e+00    8.179789e+00    6.951201e+06    7.862445e+01    6.604799e+02    5.552396e+03    6.575892e+02   -6.172658e+01    1.242329e+00    9.883911e-03 
   6.264915e+01    7.038778e-04   -6.652291e+00   -6.230850e+01    7.171178e+00    8.130277e+00    4.371510e+06    8.033743e+01    4.219392e+02    3.567455e+03    4.200925e+02   -3.943324e+01    1.242074e+00    1.017828e-02 
