   [1]radialPos        [2]errFn        [3]errFa 
   0.000000e+00            -Inf             Inf 
   6.363636e-01    2.846747e-02    7.561822e-01 
   1.272727e+00   -2.831966e-01   -6.883631e-02 
   1.909091e+00   -2.875481e-01   -2.544820e-01 
   2.545455e+00   -1.921657e-01   -2.792999e-01 
   3.181818e+00   -1.377492e-01   -2.910304e-01 
   3.818182e+00   -1.060567e-01   -2.930109e-01 
   4.454545e+00   -1.234772e-01   -3.146884e-01 
   5.090909e+00   -1.674089e-01   -3.571046e-01 
   5.727273e+00   -2.049822e-01   -3.938044e-01 
   6.363636e+00   -1.999461e-01   -3.982259e-01 
   7.000000e+00   -1.897144e-01   -3.975178e-01 
   7.636364e+00   -8.119917e-01    3.135546e-01 
   8.272727e+00   -1.699059e+00    1.226351e+00 
   8.909091e+00   -3.274056e+00    1.296081e+00 
   9.545455e+00   -1.304382e+01    1.066069e+00 
   1.018182e+01    8.801739e+00    9.058141e-01 
   1.081818e+01    2.296703e+00    6.253384e-01 
   1.145455e+01    1.018579e+00    4.110431e-01 
   1.209091e+01    5.685393e-01    2.851489e-01 
   1.272727e+01    3.636908e-01    2.070960e-01 
   1.336364e+01    2.190081e-01    1.477423e-01 
   1.400000e+01    1.343875e-01    8.345990e-02 
   1.463636e+01    7.913521e-02    2.393258e-02 
   1.527273e+01   -3.789938e-03   -4.225505e-02 
   1.590909e+01   -3.767274e-02   -6.656016e-02 
   1.654545e+01   -4.078803e-02   -6.656759e-02 
   1.718182e+01   -4.387888e-02   -6.657448e-02 
   1.781818e+01   -4.518815e-02   -6.518140e-02 
   1.845455e+01   -4.391321e-02   -6.188122e-02 
   1.909091e+01   -4.622729e-02   -6.257012e-02 
   1.972727e+01   -5.692731e-02   -7.188182e-02 
   2.036364e+01   -6.763642e-02   -8.117029e-02 
   2.100000e+01   -7.835923e-02   -8.995394e-02 
   2.163636e+01   -8.909577e-02   -9.827283e-02 
   2.227273e+01   -1.005792e-01   -1.076663e-01 
   2.290909e+01   -1.124395e-01   -1.173202e-01 
   2.354545e+01   -1.132575e-01   -1.157920e-01 
   2.418182e+01   -1.095827e-01   -1.104784e-01 
   2.481818e+01   -1.075278e-01   -1.094129e-01 
   2.545455e+01   -1.054838e-01   -1.084103e-01 
   2.609091e+01   -1.034506e-01   -1.074650e-01 
   2.672727e+01   -1.023367e-01   -1.083546e-01 
   2.736364e+01   -1.024128e-01   -1.111090e-01 
   2.800000e+01   -1.056362e-01   -1.166217e-01 
   2.863636e+01   -1.088305e-01   -1.218162e-01 
   2.927273e+01   -1.093613e-01   -1.236731e-01 
   2.990909e+01   -1.094719e-01   -1.249679e-01 
   3.054545e+01   -1.095822e-01   -1.262032e-01 
   3.118182e+01   -1.097067e-01   -1.278128e-01 
   3.181818e+01   -1.060226e-01   -1.269329e-01 
   3.245455e+01   -9.847413e-02   -1.217753e-01 
   3.309091e+01   -9.094314e-02   -1.168604e-01 
   3.372727e+01   -8.362950e-02   -1.133987e-01 
   3.436364e+01   -7.656222e-02   -1.114501e-01 
   3.500000e+01   -6.951778e-02   -1.095975e-01 
   3.563636e+01   -6.249608e-02   -1.078340e-01 
   3.627273e+01   -5.749419e-02   -1.070153e-01 
   3.690909e+01   -5.262595e-02   -1.062273e-01 
   3.754545e+01   -4.776584e-02   -1.054735e-01 
   3.818182e+01   -4.285098e-02   -1.047797e-01 
   3.881818e+01   -3.748678e-02   -1.043133e-01 
   3.945455e+01   -3.212575e-02   -1.038661e-01 
   4.009091e+01   -2.784851e-02   -1.048366e-01 
   4.072727e+01   -2.598162e-02   -1.049713e-01 
   4.136364e+01   -2.400974e-02   -1.013930e-01 
   4.200000e+01   -2.203815e-02   -9.789295e-02 
   4.263636e+01   -2.006683e-02   -9.446849e-02 
   4.327273e+01   -1.898064e-02   -9.159113e-02 
   4.390909e+01   -1.790730e-02   -8.878323e-02 
   4.454545e+01   -1.511593e-02   -8.415546e-02 
   4.518182e+01   -1.084486e-02   -8.113168e-02 
   4.581818e+01   -5.971079e-03   -8.000895e-02 
   4.645455e+01   -1.093542e-03   -7.891962e-02 
   4.709091e+01    3.851538e-03   -7.784809e-02 
   4.772727e+01    9.007211e-03   -7.676269e-02 
   4.836364e+01    1.424855e-02   -7.575566e-02 
   4.900000e+01    2.022885e-02   -7.518320e-02 
   4.963636e+01    2.658454e-02   -7.435746e-02 
   5.027273e+01    3.295339e-02   -7.355368e-02 
   5.090909e+01    3.934258e-02   -7.276434e-02 
   5.154545e+01    4.599673e-02   -7.176515e-02 
   5.218182e+01    5.266801e-02   -7.079103e-02 
   5.281818e+01    5.975188e-02   -7.056413e-02 
   5.345455e+01    6.722267e-02   -7.030852e-02 
   5.409091e+01    7.471733e-02   -7.005893e-02 
   5.472727e+01    8.244381e-02   -6.959421e-02 
   5.536364e+01    9.040380e-02   -6.892550e-02 
   5.600000e+01    9.428559e-02   -7.200963e-02 
   5.663636e+01    8.866693e-02   -8.096636e-02 
   5.727273e+01    8.300747e-02   -8.982072e-02 
   5.790909e+01    7.817429e-02   -9.710257e-02 
   5.854545e+01    7.351776e-02   -1.039566e-01 
   5.918182e+01    5.075661e-02   -1.115493e-01 
   5.981818e+01    8.986664e-03   -1.313826e-01 
   6.045455e+01   -1.836539e-02   -1.362111e-01 
   6.109091e+01   -4.176491e-02   -1.378496e-01 
   6.172727e+01   -1.073000e-01   -1.760909e-01 
   6.236364e+01   -1.324123e-01   -1.622605e-01 
   6.300000e+01   -1.086962e-01   -9.516875e-02 
