"Velocity Deficit","pMean","nutMean","nut","k","kMean","p","epsilon","force.turbine1:0","force.turbine1:1","force.turbine1:2","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.92757e-02,-9.79002e+00,6.54214e+00,4.90537e+00,6.01916e-01,6.88645e-01,-6.05842e+00,6.73096e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17815e+01,-1.83099e-02,-2.41014e-01,1.18457e+01,-4.59980e-02,-2.09869e-01,1.87907e-02,9.85902e-04,4.10578e-03,-2.93038e-04,3.08006e-04,4.89350e-03,1,2.21000e+00,1.89000e+01,0.00000e+00,-8.27900e+01
-3.87469e-02,-9.82354e+00,6.86593e+00,5.17958e+00,6.14559e-01,7.01281e-01,-6.07986e+00,6.66278e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17775e+01,-1.97625e-02,-2.44595e-01,1.18397e+01,-4.78083e-02,-2.12657e-01,1.83528e-02,1.00425e-03,4.28303e-03,-2.59567e-04,3.14222e-04,4.95485e-03,1,2.38000e+00,1.89000e+01,0.00000e+00,-8.26200e+01
-3.82181e-02,-9.85705e+00,7.18974e+00,5.45380e+00,6.27202e-01,7.13918e-01,-6.10129e+00,6.59460e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17735e+01,-2.12153e-02,-2.48177e-01,1.18336e+01,-4.96186e-02,-2.15445e-01,1.79149e-02,1.02260e-03,4.46029e-03,-2.26095e-04,3.20439e-04,5.01621e-03,1,2.55000e+00,1.89000e+01,0.00000e+00,-8.24500e+01
-3.76893e-02,-9.89056e+00,7.51353e+00,5.72801e+00,6.39845e-01,7.26555e-01,-6.12273e+00,6.52642e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17695e+01,-2.26679e-02,-2.51758e-01,1.18275e+01,-5.14288e-02,-2.18233e-01,1.74770e-02,1.04095e-03,4.63754e-03,-1.92624e-04,3.26656e-04,5.07756e-03,1,2.72000e+00,1.89000e+01,0.00000e+00,-8.22800e+01
-3.71605e-02,-9.92408e+00,7.83732e+00,6.00222e+00,6.52488e-01,7.39191e-01,-6.14416e+00,6.45824e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17656e+01,-2.41206e-02,-2.55339e-01,1.18214e+01,-5.32390e-02,-2.21021e-01,1.70391e-02,1.05930e-03,4.81479e-03,-1.59153e-04,3.32873e-04,5.13891e-03,1,2.89000e+00,1.89000e+01,0.00000e+00,-8.21100e+01
-3.66317e-02,-9.95759e+00,8.16111e+00,6.27642e+00,6.65130e-01,7.51827e-01,-6.16560e+00,6.39006e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17616e+01,-2.55732e-02,-2.58920e-01,1.18153e+01,-5.50493e-02,-2.23809e-01,1.66012e-02,1.07765e-03,4.99204e-03,-1.25682e-04,3.39090e-04,5.20026e-03,1,3.06000e+00,1.89000e+01,0.00000e+00,-8.19400e+01
-3.59448e-02,-9.99304e+00,8.49954e+00,6.56783e+00,6.78217e-01,7.64636e-01,-6.18783e+00,6.35508e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17553e+01,-2.72012e-02,-2.61934e-01,1.18074e+01,-5.70119e-02,-2.26100e-01,1.63129e-02,1.09650e-03,5.17686e-03,-9.05162e-05,3.49170e-04,5.26848e-03,1,3.23000e+00,1.89000e+01,0.00000e+00,-8.17700e+01
-3.52228e-02,-1.00289e+01,8.84120e+00,6.86305e+00,6.91401e-01,7.77482e-01,-6.21024e+00,6.32746e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17486e+01,-2.88680e-02,-2.64821e-01,1.17991e+01,-5.90083e-02,-2.28280e-01,1.60578e-02,1.11546e-03,5.36334e-03,-5.49764e-05,3.60107e-04,5.33823e-03,1,3.40000e+00,1.89000e+01,0.00000e+00,-8.16000e+01
-3.45009e-02,-1.00648e+01,9.18287e+00,7.15826e+00,7.04585e-01,7.90329e-01,-6.23266e+00,6.29985e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17419e+01,-3.05348e-02,-2.67709e-01,1.17908e+01,-6.10047e-02,-2.30461e-01,1.58027e-02,1.13443e-03,5.54982e-03,-1.94367e-05,3.71044e-04,5.40797e-03,1,3.57000e+00,1.89000e+01,0.00000e+00,-8.14300e+01
-3.37790e-02,-1.01007e+01,9.52454e+00,7.45347e+00,7.17770e-01,8.03175e-01,-6.25507e+00,6.27224e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17352e+01,-3.22016e-02,-2.70597e-01,1.17825e+01,-6.30010e-02,-2.32641e-01,1.55476e-02,1.15339e-03,5.73631e-03,1.61030e-05,3.81981e-04,5.47771e-03,1,3.74000e+00,1.89000e+01,0.00000e+00,-8.12600e+01
