"Velocity Deficit","pMean","nutMean","nut","k","kMean","p","epsilon","force.turbine1:0","force.turbine1:1","force.turbine1:2","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.24869e-01,-4.27723e+00,6.06935e+01,6.10138e+01,2.98581e+00,2.16132e+00,-2.37194e+00,1.31508e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.24884e+00,3.94215e-02,-4.38365e-02,9.97612e+00,2.83422e-02,-8.15698e-02,5.85620e-01,2.48321e-04,2.32342e-03,-1.14511e-02,-1.01706e-04,-1.79088e-03,1,1.03700e+02,3.15000e+02,0.00000e+00,1.87000e+01
1.24758e-01,-4.27719e+00,6.07048e+01,6.10332e+01,2.98523e+00,2.16078e+00,-2.37185e+00,1.31415e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.25070e+00,3.97368e-02,-4.41022e-02,9.97738e+00,2.85605e-02,-8.18744e-02,5.84589e-01,2.52181e-04,2.33520e-03,-1.15328e-02,-1.03219e-04,-1.74581e-03,1,1.03870e+02,3.15000e+02,0.00000e+00,1.88700e+01
1.24648e-01,-4.27716e+00,6.07161e+01,6.10526e+01,2.98465e+00,2.16024e+00,-2.37177e+00,1.31322e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.25256e+00,4.00521e-02,-4.43680e-02,9.97863e+00,2.87788e-02,-8.21790e-02,5.83558e-01,2.56041e-04,2.34698e-03,-1.16144e-02,-1.04732e-04,-1.70074e-03,1,1.04040e+02,3.15000e+02,0.00000e+00,1.90400e+01
1.24537e-01,-4.27713e+00,6.07274e+01,6.10721e+01,2.98406e+00,2.15969e+00,-2.37169e+00,1.31229e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.25442e+00,4.03675e-02,-4.46337e-02,9.97989e+00,2.89971e-02,-8.24836e-02,5.82527e-01,2.59901e-04,2.35875e-03,-1.16961e-02,-1.06245e-04,-1.65567e-03,1,1.04210e+02,3.15000e+02,0.00000e+00,1.92100e+01
1.24426e-01,-4.27710e+00,6.07388e+01,6.10915e+01,2.98348e+00,2.15915e+00,-2.37161e+00,1.31137e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.25628e+00,4.06828e-02,-4.48994e-02,9.98115e+00,2.92154e-02,-8.27882e-02,5.81496e-01,2.63761e-04,2.37053e-03,-1.17777e-02,-1.07758e-04,-1.61061e-03,1,1.04380e+02,3.15000e+02,0.00000e+00,1.93800e+01
1.24316e-01,-4.27706e+00,6.07501e+01,6.11109e+01,2.98290e+00,2.15861e+00,-2.37153e+00,1.31044e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.25814e+00,4.09981e-02,-4.51651e-02,9.98241e+00,2.94337e-02,-8.30928e-02,5.80465e-01,2.67621e-04,2.38231e-03,-1.18594e-02,-1.09271e-04,-1.56554e-03,1,1.04550e+02,3.15000e+02,0.00000e+00,1.95500e+01
1.24205e-01,-4.27703e+00,6.07614e+01,6.11304e+01,2.98232e+00,2.15807e+00,-2.37144e+00,1.30951e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.26000e+00,4.13135e-02,-4.54308e-02,9.98367e+00,2.96521e-02,-8.33974e-02,5.79434e-01,2.71481e-04,2.39409e-03,-1.19411e-02,-1.10784e-04,-1.52047e-03,1,1.04720e+02,3.15000e+02,0.00000e+00,1.97200e+01
1.24094e-01,-4.27700e+00,6.07727e+01,6.11498e+01,2.98174e+00,2.15753e+00,-2.37136e+00,1.30858e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.26186e+00,4.16288e-02,-4.56966e-02,9.98493e+00,2.98704e-02,-8.37020e-02,5.78403e-01,2.75341e-04,2.40587e-03,-1.20227e-02,-1.12297e-04,-1.47541e-03,1,1.04890e+02,3.15000e+02,0.00000e+00,1.98900e+01
1.23984e-01,-4.27697e+00,6.07840e+01,6.11692e+01,2.98116e+00,2.15699e+00,-2.37128e+00,1.30766e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.26372e+00,4.19441e-02,-4.59623e-02,9.98619e+00,3.00887e-02,-8.40066e-02,5.77372e-01,2.79200e-04,2.41765e-03,-1.21044e-02,-1.13810e-04,-1.43034e-03,1,1.05060e+02,3.15000e+02,0.00000e+00,2.00600e+01
1.23873e-01,-4.27693e+00,6.07953e+01,6.11887e+01,2.98058e+00,2.15644e+00,-2.37120e+00,1.30673e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.26558e+00,4.22595e-02,-4.62280e-02,9.98745e+00,3.03070e-02,-8.43112e-02,5.76341e-01,2.83060e-04,2.42943e-03,-1.21861e-02,-1.15323e-04,-1.38527e-03,1,1.05230e+02,3.15000e+02,0.00000e+00,2.02300e+01
1.23762e-01,-4.27690e+00,6.08066e+01,6.12081e+01,2.98000e+00,2.15590e+00,-2.37112e+00,1.30580e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.26744e+00,4.25748e-02,-4.64937e-02,9.98871e+00,3.05253e-02,-8.46158e-02,5.75310e-01,2.86920e-04,2.44120e-03,-1.22677e-02,-1.16836e-04,-1.34020e-03,1,1.05400e+02,3.15000e+02,0.00000e+00,2.04000e+01
1.23651e-01,-4.27687e+00,6.08179e+01,6.12275e+01,2.97942e+00,2.15536e+00,-2.37103e+00,1.30487e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.26930e+00,4.28901e-02,-4.67594e-02,9.98996e+00,3.07436e-02,-8.49205e-02,5.74280e-01,2.90780e-04,2.45298e-03,-1.23494e-02,-1.18349e-04,-1.29514e-03,1,1.05570e+02,3.15000e+02,0.00000e+00,2.05700e+01
1.23539e-01,-4.27683e+00,6.08286e+01,6.12462e+01,2.97882e+00,2.15480e+00,-2.37095e+00,1.30394e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.27118e+00,4.32023e-02,-4.70228e-02,9.99124e+00,3.09597e-02,-8.52230e-02,5.73239e-01,2.94711e-04,2.46486e-03,-1.24294e-02,-1.19903e-04,-1.25087e-03,1,1.05740e+02,3.15000e+02,0.00000e+00,2.07400e+01
1.23422e-01,-4.27680e+00,6.08371e+01,6.12625e+01,2.97814e+00,2.15419e+00,-2.37087e+00,1.30301e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.27314e+00,4.35047e-02,-4.72791e-02,9.99257e+00,3.11688e-02,-8.55189e-02,5.72171e-01,2.98859e-04,2.47706e-03,-1.25043e-02,-1.21581e-04,-1.20905e-03,1,1.05910e+02,3.15000e+02,0.00000e+00,2.09100e+01
1.23306e-01,-4.27676e+00,6.08457e+01,6.12789e+01,2.97746e+00,2.15358e+00,-2.37078e+00,1.30207e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.27511e+00,4.38071e-02,-4.75354e-02,9.99390e+00,3.13779e-02,-8.58149e-02,5.71103e-01,3.03007e-04,2.48926e-03,-1.25791e-02,-1.23259e-04,-1.16723e-03,1,1.06080e+02,3.15000e+02,0.00000e+00,2.10800e+01
1.23189e-01,-4.27673e+00,6.08543e+01,6.12952e+01,2.97679e+00,2.15297e+00,-2.37070e+00,1.30114e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.27707e+00,4.41095e-02,-4.77916e-02,9.99522e+00,3.15870e-02,-8.61109e-02,5.70034e-01,3.07156e-04,2.50146e-03,-1.26540e-02,-1.24938e-04,-1.12542e-03,1,1.06250e+02,3.15000e+02,0.00000e+00,2.12500e+01
