"Velocity Deficit","pMean","nutMean","nut","k","kMean","p","epsilon","force.turbine1:0","force.turbine1:1","force.turbine1:2","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.43903e-02,0.00000e+00,9.72956e-01,8.22392e-01,3.26919e-01,3.12098e-01,0.00000e+00,1.20902e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.03625e+01,-2.36085e-03,-2.93181e-04,1.08940e+01,-1.42757e-04,-5.17082e-05,1.00598e-01,1.75884e-07,3.74968e-09,6.62009e-05,6.55599e-09,8.23725e-06,1,0.00000e+00,1.26000e+03,0.00000e+00,-8.50000e+01
4.33124e-02,0.00000e+00,1.02740e+00,8.63901e-01,3.27939e-01,3.13536e-01,0.00000e+00,1.14664e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.03808e+01,-2.38092e-03,-3.55212e-04,1.09062e+01,-1.43850e-04,-5.73716e-05,9.65260e-02,1.79012e-07,3.94934e-09,6.57287e-05,1.07987e-08,1.03510e-05,1,1.69998e-01,1.26000e+03,0.00000e+00,-8.48300e+01
4.23978e-02,-1.00645e-15,1.08552e+00,9.08033e-01,3.29099e-01,3.15007e-01,-7.79338e-17,1.09531e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.03967e+01,-2.39888e-03,-4.23866e-04,1.09167e+01,-1.44823e-04,-6.35665e-05,9.31194e-02,1.81881e-07,5.11912e-09,6.52817e-05,1.57327e-08,1.25739e-05,1,3.39996e-01,1.26000e+03,0.00000e+00,-8.46600e+01
4.16570e-02,0.00000e+00,1.14756e+00,9.54961e-01,3.30407e-01,3.16513e-01,0.00000e+00,1.05576e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.04100e+01,-2.41459e-03,-4.99583e-04,1.09251e+01,-1.45668e-04,-7.03283e-05,9.04215e-02,1.84475e-07,7.32314e-09,6.48616e-05,2.14039e-08,1.49133e-05,1,5.10002e-01,1.26000e+03,0.00000e+00,-8.44900e+01
4.09162e-02,0.00000e+00,1.20959e+00,1.00189e+00,3.31715e-01,3.18020e-01,0.00000e+00,1.01620e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.04233e+01,-2.43029e-03,-5.75297e-04,1.09336e+01,-1.46514e-04,-7.70898e-05,8.77237e-02,1.87068e-07,9.52707e-09,6.44415e-05,2.70748e-08,1.72526e-05,1,6.80000e-01,1.26000e+03,0.00000e+00,-8.43200e+01
4.01754e-02,0.00000e+00,1.27162e+00,1.04881e+00,3.33022e-01,3.19526e-01,0.00000e+00,9.76646e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.04365e+01,-2.44600e-03,-6.51010e-04,1.09420e+01,-1.47359e-04,-8.38513e-05,8.50259e-02,1.89662e-07,1.17310e-08,6.40214e-05,3.27457e-08,1.95919e-05,1,8.49998e-01,1.26000e+03,0.00000e+00,-8.41500e+01
3.94347e-02,0.00000e+00,1.33366e+00,1.09574e+00,3.34330e-01,3.21032e-01,0.00000e+00,9.37090e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.04498e+01,-2.46170e-03,-7.26724e-04,1.09504e+01,-1.48204e-04,-9.06128e-05,8.23281e-02,1.92256e-07,1.39349e-08,6.36013e-05,3.84167e-08,2.19312e-05,1,1.02000e+00,1.26000e+03,0.00000e+00,-8.39800e+01
3.86983e-02,1.00645e-15,1.39584e+00,1.14277e+00,3.35641e-01,3.22538e-01,7.62518e-17,8.97809e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.04630e+01,-2.47733e-03,-8.02619e-04,1.09588e+01,-1.49046e-04,-9.73895e-05,7.96480e-02,1.94841e-07,1.62031e-08,6.31825e-05,4.41092e-08,2.42719e-05,1,1.19000e+00,1.26000e+03,0.00000e+00,-8.38100e+01
3.81668e-02,0.00000e+00,1.46464e+00,1.19438e+00,3.37083e-01,3.24006e-01,0.00000e+00,8.71194e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.04729e+01,-2.48978e-03,-8.86661e-04,1.09649e+01,-1.49709e-04,-1.04844e-04,7.77837e-02,1.96993e-07,2.14085e-08,6.28230e-05,5.07784e-08,2.66681e-05,1,1.36000e+00,1.26000e+03,0.00000e+00,-8.36400e+01
3.76353e-02,0.00000e+00,1.53344e+00,1.24600e+00,3.38526e-01,3.25474e-01,0.00000e+00,8.44578e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.04829e+01,-2.50222e-03,-9.70704e-04,1.09710e+01,-1.50372e-04,-1.12300e-04,7.59194e-02,1.99146e-07,2.66140e-08,6.24636e-05,5.74477e-08,2.90644e-05,1,1.53000e+00,1.26000e+03,0.00000e+00,-8.34700e+01
