time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
47.05,3.6287327025,7,0.627908928026,0.842844642694,0.0897012754323,0.282691974421,0.0304179512515,0.280826013577,0.0295565519765,0.278779923326,0.0297267722043
47.1,7.25746540499,7,0.595866402894,0.824395979054,0.0851237718421,0.277583463728,0.0291382727916,0.273670527729,0.0278024495614,0.272595257847,0.028183049489
47.15,10.8861981075,7,0.572690401217,0.810373888389,0.0818129144596,0.273518061106,0.028158098705,0.268277694562,0.0265515418361,0.268031519134,0.0271032739185
47.2,14.51493081,7,0.557177622883,0.800506522367,0.079596803269,0.270448948392,0.0274447509129,0.264421091357,0.0257041283564,0.265090056562,0.0264479239998
47.25,18.1436635125,7,0.547617182677,0.794112795937,0.0782310260967,0.268307660191,0.0269594477714,0.261853276137,0.025173701588,0.263405665966,0.0260978767372
47.3,21.772396215,7,0.542408134735,0.790415572328,0.0774868763908,0.267022679504,0.0266792091521,0.260249045828,0.0248624375207,0.262597895736,0.025945229718
47.35,25.4011289175,7,0.540424417876,0.788831859393,0.077203488268,0.266408388433,0.0265484629097,0.259370633518,0.0247061261386,0.262507135392,0.0259488992197
47.4,29.02986162,7,0.541135460708,0.789019886031,0.0773050658154,0.266416519193,0.0265577724311,0.25907496072,0.0246719996216,0.262982941628,0.0260752937627
47.45,32.6585943225,7,0.544566675578,0.790985795354,0.0777952393683,0.266999472894,0.0266961234389,0.259392481806,0.0247678758972,0.264048591692,0.0263312400322
47.5,36.287327025,7,0.550958331474,0.794793797054,0.0787083330677,0.268173335872,0.0269729566604,0.260383985972,0.0250155174121,0.26569139874,0.0267198589951
47.55,39.9160597274,7,0.560024517424,0.800175757983,0.0800035024891,0.269753161009,0.0273462213125,0.262150285337,0.0254493772959,0.267727372695,0.0272079038807
47.6,43.5447924299,7,0.572006708107,0.807213295011,0.0817152440153,0.271831135236,0.0278436268778,0.264677076705,0.0260750500871,0.270160233554,0.0277965670504
47.65,47.1735251324,7,0.585978134933,0.815294839664,0.0837111621333,0.274128766415,0.0283976232211,0.267840237396,0.0268756620177,0.272781016747,0.0284378768946
47.7,50.8022578349,7,0.601035799131,0.823874190204,0.0858622570187,0.276509026171,0.0289791341034,0.271367142732,0.027783151219,0.275453173054,0.0290999716963
47.75,54.4309905374,7,0.616089513047,0.832346216689,0.0880127875782,0.278826005946,0.0295496626899,0.274876296081,0.0287034823538,0.27809899245,0.0297596425345
47.8,58.0597232399,7,0.629940467076,0.84017842468,0.0899914952966,0.281106455021,0.030103858398,0.278097848398,0.0295477997963,0.280429074251,0.0303398371023
47.85,61.6884559424,7,0.641735469935,0.846838823661,0.091676495705,0.283075155626,0.0305825382754,0.28070968991,0.0302394337305,0.282508774817,0.0308545236991
47.9,65.3171886449,7,0.651158681822,0.852241404367,0.0930226688317,0.284697080648,0.0309699185558,0.282783916966,0.0307825687914,0.284215006329,0.0312701814844
47.95,68.9459213474,7,0.658438774094,0.856540502253,0.0940626820135,0.286075649255,0.0312885266197,0.284298283326,0.031172174684,0.285620959798,0.0316019807098
48,72.5746540499,7,0.663632047664,0.859720668741,0.0948045782377,0.287154146036,0.0315285974648,0.285341657705,0.0314336139966,0.286679031595,0.0318423667763
48.05,76.2033867524,7,0.667221716334,0.862039030612,0.0953173880477,0.287948840291,0.0316932838667,0.286052999931,0.0316075285863,0.287491132278,0.0320165755948
48.1,79.8321194549,7,0.669438824085,0.863586522,0.0956341177265,0.288511175693,0.0317996545918,0.286510686515,0.0317169982131,0.288018370052,0.0321174649215
48.15,83.4608521574,7,0.670426172934,0.86444028278,0.095775167562,0.288842696493,0.0318477779746,0.286729001284,0.0317680956327,0.2883220717,0.0321592939548
48.2,87.0895848599,7,0.670329621398,0.864692742108,0.0957613744854,0.288944905521,0.0318362636316,0.286766659385,0.0317723365992,0.288434469098,0.0321527742545
48.25,90.7183175624,7,0.669248420807,0.864363013837,0.0956069172582,0.288832144548,0.0317752516483,0.286627839689,0.0317325003698,0.288356136104,0.0320991652401
48.3,94.3470502649,7,0.667146225411,0.863481810399,0.0953066036302,0.288522668525,0.0316622894956,0.286337132386,0.0316521773477,0.288074939589,0.0319921367869
48.35,97.9757829674,7,0.664064094756,0.862039532756,0.0948662992509,0.288010127446,0.0315011543294,0.285832242668,0.0315143407969,0.287649956609,0.0318508041246
48.4,101.60451567,7,0.659911398592,0.859990391346,0.0942730569417,0.28726372619,0.0312844050342,0.285122767146,0.0313225714044,0.28705657779,0.0316660805031
48.45,105.233248372,7,0.654943381118,0.857474430694,0.0935633401597,0.286333349007,0.0310220361962,0.28427057803,0.0310939591666,0.286323097737,0.0314473447969
48.5,108.861981075,7,0.64926044804,0.854543913389,0.0927514925772,0.285201899733,0.0307100557222,0.283279669936,0.0308274888867,0.285514880402,0.0312139479683
48.55,112.490713777,7,0.64317798703,0.85134039088,0.0918825695757,0.283967642641,0.0303778864677,0.282198082039,0.0305418979118,0.284627171699,0.0309627851962
48.6,116.11944648,7,0.636902289621,0.847984941597,0.0909860413745,0.282627835511,0.030024398936,0.281099982236,0.0302536074946,0.283709633949,0.0307080349439
48.65,119.748179182,7,0.630695394235,0.84459127189,0.0900993420335,0.281173031578,0.0296502044053,0.280095190467,0.0299945853184,0.282775585537,0.0304545523098
48.7,123.376911885,7,0.624934281026,0.841371674707,0.0892763258609,0.27983934976,0.0293165164333,0.279058280714,0.029734529293,0.28192661828,0.0302252801346
